NUM,PERIODE,SES,SAL,KART,SAK,VOTNR,VOTERING,SETENR,PERSON,PARTI
2458334,154,154,1,4,1,1,1,2,31442,81
2458338,154,154,1,4,1,1,1,8,2338,51
2458342,154,154,1,4,1,1,1,16,2196,71
2458346,154,154,1,4,1,1,1,26,26853,51
2458350,154,154,1,4,1,1,1,40,31391,71
2458354,154,154,1,4,1,1,1,59,31426,71
2458358,154,154,1,4,1,1,1,71,30163,51
2458362,154,154,1,4,1,1,1,88,27163,71
2458366,154,154,1,4,1,1,1,102,27008,81
2458370,154,154,1,4,1,1,1,114,2231,81
2458374,154,154,1,4,1,1,1,128,30801,71
2458378,154,154,1,4,1,1,1,164,30217,71
2458337,154,154,1,4,1,1,1,5,31630,81
2458341,154,154,1,4,1,1,1,15,30943,81
2458345,154,154,1,4,1,1,1,24,27164,81
2458349,154,154,1,4,1,1,1,37,30860,81
2458353,154,154,1,4,1,1,1,56,4173,51
2458357,154,154,1,4,1,1,1,68,26825,81
2458361,154,154,1,4,1,1,1,85,30119,81
2458365,154,154,1,4,1,1,1,99,30064,31
2458369,154,154,1,4,1,1,1,113,30427,71
2458373,154,154,1,4,1,1,1,124,31348,71
2458377,154,154,1,4,1,1,1,149,30831,81
2458335,154,154,1,4,1,1,1,3,31580,71
2458339,154,154,1,4,1,1,1,9,30603,81
2458343,154,154,1,4,1,1,1,18,30619,81
2458347,154,154,1,4,1,1,1,29,1273,71
2458351,154,154,1,4,1,1,1,51,1155,71
2458355,154,154,1,4,1,1,1,63,30912,81
2458359,154,154,1,4,1,1,1,72,31519,81
2458363,154,154,1,4,1,1,1,92,2311,81
2458367,154,154,1,4,1,1,1,107,30835,81
2458371,154,154,1,4,1,1,1,117,31328,71
2458375,154,154,1,4,1,1,1,132,2290,81
2458379,154,154,1,4,1,1,1,165,31516,81
2458336,154,154,1,4,1,1,1,4,30941,51
2458340,154,154,1,4,1,1,1,12,30420,81
2458344,154,154,1,4,1,1,1,20,30827,71
2458348,154,154,1,4,1,1,1,33,27197,71
2458352,154,154,1,4,1,1,1,53,26840,81
2458356,154,154,1,4,1,1,1,65,2336,81
2458360,154,154,1,4,1,1,1,82,30088,81
2458364,154,154,1,4,1,1,1,95,26788,71
2458368,154,154,1,4,1,1,1,109,2239,71
2458372,154,154,1,4,1,1,1,118,30677,81
2458376,154,154,1,4,1,1,1,143,31507,71
2458380,154,154,1,4,1,1,1,168,30812,81
2458382,154,154,1,4,1,1,2,6,30867,21
2458386,154,154,1,4,1,1,2,19,30640,21
2458390,154,154,1,4,1,1,2,30,30907,21
2458394,154,154,1,4,1,1,2,36,31301,21
2458398,154,154,1,4,1,1,2,45,30832,41
2458402,154,154,1,4,1,1,2,55,30661,21
2458406,154,154,1,4,1,1,2,69,31623,21
2458410,154,154,1,4,1,1,2,84,26836,21
2458414,154,154,1,4,1,1,2,94,26891,14
2458418,154,154,1,4,1,1,2,116,30338,41
2458422,154,154,1,4,1,1,2,129,2218,21
2458426,154,154,1,4,1,1,2,142,31598,21
2458430,154,154,1,4,1,1,2,157,30737,21
2458434,154,154,1,4,1,1,2,166,30833,21
2458438,154,154,1,4,1,2,1,9,30603,81
2458442,154,154,1,4,1,2,1,24,27164,81
2458446,154,154,1,4,1,2,1,65,2336,81
2458450,154,154,1,4,1,2,1,85,30119,81
2458454,154,154,1,4,1,2,1,114,2231,81
2458458,154,154,1,4,1,2,1,165,31516,81
2458462,154,154,1,4,1,2,2,6,30867,21
2458466,154,154,1,4,1,2,2,16,2196,71
2458470,154,154,1,4,1,2,2,21,30745,14
2458474,154,154,1,4,1,2,2,29,1273,71
2458478,154,154,1,4,1,2,2,34,30012,21
2458482,154,154,1,4,1,2,2,39,31449,21
2458486,154,154,1,4,1,2,2,47,31296,21
2458490,154,154,1,4,1,2,2,55,30661,21
2458494,154,154,1,4,1,2,2,60,31478,41
2458498,154,154,1,4,1,2,2,78,31372,21
2458502,154,154,1,4,1,2,2,87,30673,41
2458506,154,154,1,4,1,2,2,94,26891,14
2458510,154,154,1,4,1,2,2,104,30805,21
2458514,154,154,1,4,1,2,2,116,30338,41
2458518,154,154,1,4,1,2,2,123,30032,21
2458522,154,154,1,4,1,2,2,133,30735,21
2458526,154,154,1,4,1,2,2,143,31507,71
2458530,154,154,1,4,1,2,2,157,30737,21
2458534,154,154,1,4,1,2,2,164,30217,71
2458538,154,154,1,4,1,3,1,2,31442,81
2458542,154,154,1,4,1,3,1,15,30943,81
2458546,154,154,1,4,1,3,1,53,26840,81
2458550,154,154,1,4,1,3,1,72,31519,81
2458554,154,154,1,4,1,3,1,102,27008,81
2458558,154,154,1,4,1,3,1,132,2290,81
2458562,154,154,1,4,1,3,2,3,31580,71
2458566,154,154,1,4,1,3,2,10,31318,14
2458570,154,154,1,4,1,3,2,19,30640,21
2458574,154,154,1,4,1,3,2,26,26853,51
2458578,154,154,1,4,1,3,2,32,30075,21
2458582,154,154,1,4,1,3,2,36,31301,21
2458586,154,154,1,4,1,3,2,44,30085,21
2458590,154,154,1,4,1,3,2,49,30788,21
2458594,154,154,1,4,1,3,2,58,31511,21
2458598,154,154,1,4,1,3,2,69,31623,21
2458602,154,154,1,4,1,3,2,83,2309,21
2458606,154,154,1,4,1,3,2,89,31317,14
2458610,154,154,1,4,1,3,2,99,30064,31
2458614,154,154,1,4,1,3,2,113,30427,71
2458618,154,154,1,4,1,3,2,120,26865,21
2458622,154,154,1,4,1,3,2,128,30801,71
2458626,154,154,1,4,1,3,2,141,31357,41
2458630,154,154,1,4,1,3,2,150,30679,21
2458634,154,154,1,4,1,3,2,161,30428,21
2458638,154,154,1,4,1,3,2,167,31640,21
2458381,154,154,1,4,1,1,1,169,31053,51
2458385,154,154,1,4,1,1,2,17,30626,21
2458389,154,154,1,4,1,1,2,27,2025,21
2458393,154,154,1,4,1,1,2,35,2134,41
2458397,154,154,1,4,1,1,2,44,30085,21
2458401,154,154,1,4,1,1,2,49,30788,21
2458405,154,154,1,4,1,1,2,61,31403,14
2458409,154,154,1,4,1,1,2,83,2309,21
2458413,154,154,1,4,1,1,2,90,1146,21
2458417,154,154,1,4,1,1,2,115,30086,21
2458421,154,154,1,4,1,1,2,123,30032,21
2458425,154,154,1,4,1,1,2,141,31357,41
2458429,154,154,1,4,1,1,2,151,31589,14
2458433,154,154,1,4,1,1,2,163,30886,21
2458437,154,154,1,4,1,2,1,5,31630,81
2458441,154,154,1,4,1,2,1,18,30619,81
2458445,154,154,1,4,1,2,1,63,30912,81
2458449,154,154,1,4,1,2,1,82,30088,81
2458453,154,154,1,4,1,2,1,107,30835,81
2458457,154,154,1,4,1,2,1,149,30831,81
2458461,154,154,1,4,1,2,2,4,30941,51
2458465,154,154,1,4,1,2,2,14,30834,21
2458469,154,154,1,4,1,2,2,20,30827,71
2458473,154,154,1,4,1,2,2,27,2025,21
2458477,154,154,1,4,1,2,2,33,27197,71
2458481,154,154,1,4,1,2,2,38,31490,21
2458485,154,154,1,4,1,2,2,45,30832,41
2458489,154,154,1,4,1,2,2,51,1155,71
2458493,154,154,1,4,1,2,2,59,31426,71
2458497,154,154,1,4,1,2,2,71,30163,51
2458501,154,154,1,4,1,2,2,84,26836,21
2458505,154,154,1,4,1,2,2,90,1146,21
2458509,154,154,1,4,1,2,2,101,31416,21
2458513,154,154,1,4,1,2,2,115,30086,21
2458517,154,154,1,4,1,2,2,121,30723,41
2458521,154,154,1,4,1,2,2,129,2218,21
2458525,154,154,1,4,1,2,2,142,31598,21
2458529,154,154,1,4,1,2,2,151,31589,14
2458533,154,154,1,4,1,2,2,163,30886,21
2458537,154,154,1,4,1,2,2,169,31053,51
2458541,154,154,1,4,1,3,1,12,30420,81
2458545,154,154,1,4,1,3,1,37,30860,81
2458549,154,154,1,4,1,3,1,68,26825,81
2458553,154,154,1,4,1,3,1,92,2311,81
2458557,154,154,1,4,1,3,1,118,30677,81
2458561,154,154,1,4,1,3,1,168,30812,81
2458565,154,154,1,4,1,3,2,8,2338,51
2458569,154,154,1,4,1,3,2,17,30626,21
2458573,154,154,1,4,1,3,2,22,31327,21
2458577,154,154,1,4,1,3,2,30,30907,21
2458581,154,154,1,4,1,3,2,35,2134,41
2458585,154,154,1,4,1,3,2,40,31391,71
2458589,154,154,1,4,1,3,2,48,1289,14
2458593,154,154,1,4,1,3,2,56,4173,51
2458597,154,154,1,4,1,3,2,61,31403,14
2458601,154,154,1,4,1,3,2,80,30909,21
2458605,154,154,1,4,1,3,2,88,27163,71
2458609,154,154,1,4,1,3,2,95,26788,71
2458613,154,154,1,4,1,3,2,109,2239,71
2458617,154,154,1,4,1,3,2,117,31328,71
2458621,154,154,1,4,1,3,2,124,31348,71
2458625,154,154,1,4,1,3,2,136,30842,21
2458629,154,154,1,4,1,3,2,146,30897,21
2458633,154,154,1,4,1,3,2,159,30826,21
2458637,154,154,1,4,1,3,2,166,30833,21
2458383,154,154,1,4,1,1,2,10,31318,14
2458387,154,154,1,4,1,1,2,21,30745,14
2458391,154,154,1,4,1,1,2,32,30075,21
2458395,154,154,1,4,1,1,2,38,31490,21
2458399,154,154,1,4,1,1,2,47,31296,21
2458403,154,154,1,4,1,1,2,58,31511,21
2458407,154,154,1,4,1,1,2,78,31372,21
2458411,154,154,1,4,1,1,2,87,30673,41
2458415,154,154,1,4,1,1,2,101,31416,21
2458419,154,154,1,4,1,1,2,120,26865,21
2458423,154,154,1,4,1,1,2,133,30735,21
2458427,154,154,1,4,1,1,2,146,30897,21
2458431,154,154,1,4,1,1,2,159,30826,21
2458435,154,154,1,4,1,1,2,167,31640,21
2458439,154,154,1,4,1,2,1,12,30420,81
2458443,154,154,1,4,1,2,1,37,30860,81
2458447,154,154,1,4,1,2,1,68,26825,81
2458451,154,154,1,4,1,2,1,92,2311,81
2458455,154,154,1,4,1,2,1,118,30677,81
2458459,154,154,1,4,1,2,1,168,30812,81
2458463,154,154,1,4,1,2,2,8,2338,51
2458467,154,154,1,4,1,2,2,17,30626,21
2458471,154,154,1,4,1,2,2,22,31327,21
2458475,154,154,1,4,1,2,2,30,30907,21
2458479,154,154,1,4,1,2,2,35,2134,41
2458483,154,154,1,4,1,2,2,40,31391,71
2458487,154,154,1,4,1,2,2,48,1289,14
2458491,154,154,1,4,1,2,2,56,4173,51
2458495,154,154,1,4,1,2,2,61,31403,14
2458499,154,154,1,4,1,2,2,80,30909,21
2458503,154,154,1,4,1,2,2,88,27163,71
2458507,154,154,1,4,1,2,2,95,26788,71
2458511,154,154,1,4,1,2,2,109,2239,71
2458515,154,154,1,4,1,2,2,117,31328,71
2458519,154,154,1,4,1,2,2,124,31348,71
2458523,154,154,1,4,1,2,2,136,30842,21
2458527,154,154,1,4,1,2,2,146,30897,21
2458531,154,154,1,4,1,2,2,159,30826,21
2458535,154,154,1,4,1,2,2,166,30833,21
2458539,154,154,1,4,1,3,1,5,31630,81
2458543,154,154,1,4,1,3,1,18,30619,81
2458547,154,154,1,4,1,3,1,63,30912,81
2458551,154,154,1,4,1,3,1,82,30088,81
2458555,154,154,1,4,1,3,1,107,30835,81
2458559,154,154,1,4,1,3,1,149,30831,81
2458563,154,154,1,4,1,3,2,4,30941,51
2458567,154,154,1,4,1,3,2,14,30834,21
2458571,154,154,1,4,1,3,2,20,30827,71
2458575,154,154,1,4,1,3,2,27,2025,21
2458579,154,154,1,4,1,3,2,33,27197,71
2458583,154,154,1,4,1,3,2,38,31490,21
2458587,154,154,1,4,1,3,2,45,30832,41
2458591,154,154,1,4,1,3,2,51,1155,71
2458595,154,154,1,4,1,3,2,59,31426,71
2458599,154,154,1,4,1,3,2,71,30163,51
2458603,154,154,1,4,1,3,2,84,26836,21
2458607,154,154,1,4,1,3,2,90,1146,21
2458611,154,154,1,4,1,3,2,101,31416,21
2458615,154,154,1,4,1,3,2,115,30086,21
2458619,154,154,1,4,1,3,2,121,30723,41
2458623,154,154,1,4,1,3,2,129,2218,21
2458627,154,154,1,4,1,3,2,142,31598,21
2458631,154,154,1,4,1,3,2,151,31589,14
2458635,154,154,1,4,1,3,2,163,30886,21
2458639,154,154,1,4,1,3,2,169,31053,51
2458384,154,154,1,4,1,1,2,14,30834,21
2458388,154,154,1,4,1,1,2,22,31327,21
2458392,154,154,1,4,1,1,2,34,30012,21
2458396,154,154,1,4,1,1,2,39,31449,21
2458400,154,154,1,4,1,1,2,48,1289,14
2458404,154,154,1,4,1,1,2,60,31478,41
2458408,154,154,1,4,1,1,2,80,30909,21
2458412,154,154,1,4,1,1,2,89,31317,14
2458416,154,154,1,4,1,1,2,104,30805,21
2458420,154,154,1,4,1,1,2,121,30723,41
2458424,154,154,1,4,1,1,2,136,30842,21
2458428,154,154,1,4,1,1,2,150,30679,21
2458432,154,154,1,4,1,1,2,161,30428,21
2458436,154,154,1,4,1,2,1,2,31442,81
2458440,154,154,1,4,1,2,1,15,30943,81
2458444,154,154,1,4,1,2,1,53,26840,81
2458448,154,154,1,4,1,2,1,72,31519,81
2458452,154,154,1,4,1,2,1,102,27008,81
2458456,154,154,1,4,1,2,1,132,2290,81
2458460,154,154,1,4,1,2,2,3,31580,71
2458464,154,154,1,4,1,2,2,10,31318,14
2458468,154,154,1,4,1,2,2,19,30640,21
2458472,154,154,1,4,1,2,2,26,26853,51
2458476,154,154,1,4,1,2,2,32,30075,21
2458480,154,154,1,4,1,2,2,36,31301,21
2458484,154,154,1,4,1,2,2,44,30085,21
2458488,154,154,1,4,1,2,2,49,30788,21
2458492,154,154,1,4,1,2,2,58,31511,21
2458496,154,154,1,4,1,2,2,69,31623,21
2458500,154,154,1,4,1,2,2,83,2309,21
2458504,154,154,1,4,1,2,2,89,31317,14
2458508,154,154,1,4,1,2,2,99,30064,31
2458512,154,154,1,4,1,2,2,113,30427,71
2458516,154,154,1,4,1,2,2,120,26865,21
2458520,154,154,1,4,1,2,2,128,30801,71
2458524,154,154,1,4,1,2,2,141,31357,41
2458528,154,154,1,4,1,2,2,150,30679,21
2458532,154,154,1,4,1,2,2,161,30428,21
2458536,154,154,1,4,1,2,2,167,31640,21
2458540,154,154,1,4,1,3,1,9,30603,81
2458544,154,154,1,4,1,3,1,24,27164,81
2458548,154,154,1,4,1,3,1,65,2336,81
2458552,154,154,1,4,1,3,1,85,30119,81
2458556,154,154,1,4,1,3,1,114,2231,81
2458560,154,154,1,4,1,3,1,165,31516,81
2458564,154,154,1,4,1,3,2,6,30867,21
2458568,154,154,1,4,1,3,2,16,2196,71
2458572,154,154,1,4,1,3,2,21,30745,14
2458576,154,154,1,4,1,3,2,29,1273,71
2458580,154,154,1,4,1,3,2,34,30012,21
2458584,154,154,1,4,1,3,2,39,31449,21
2458588,154,154,1,4,1,3,2,47,31296,21
2458592,154,154,1,4,1,3,2,55,30661,21
2458596,154,154,1,4,1,3,2,60,31478,41
2458600,154,154,1,4,1,3,2,78,31372,21
2458604,154,154,1,4,1,3,2,87,30673,41
2458608,154,154,1,4,1,3,2,94,26891,14
2458612,154,154,1,4,1,3,2,104,30805,21
2458616,154,154,1,4,1,3,2,116,30338,41
2458620,154,154,1,4,1,3,2,123,30032,21
2458624,154,154,1,4,1,3,2,133,30735,21
2458628,154,154,1,4,1,3,2,143,31507,71
2458632,154,154,1,4,1,3,2,157,30737,21
2458636,154,154,1,4,1,3,2,164,30217,71
2458640,154,154,1,4,1,4,1,2,31442,81
2458642,154,154,1,4,1,4,1,5,31630,81
