NUM,PERIODE,SES,SAL,KART,SAK,VOTNR,VOTERING,SETENR,PERSON,PARTI
393590,130,133,1,5,1,1,1,2,NULL,71
393591,130,133,1,5,1,1,1,12,NULL,71
393592,130,133,1,5,1,1,1,14,NULL,71
393593,130,133,1,5,1,1,1,16,NULL,41
393594,130,133,1,5,1,1,1,19,NULL,71
393595,130,133,1,5,1,1,1,20,NULL,14
393596,130,133,1,5,1,1,1,27,NULL,41
393597,130,133,1,5,1,1,1,38,NULL,41
393598,130,133,1,5,1,1,1,40,NULL,14
393599,130,133,1,5,1,1,1,42,NULL,71
393600,130,133,1,5,1,1,1,50,NULL,51
393601,130,133,1,5,1,1,1,51,NULL,41
393602,130,133,1,5,1,1,1,52,NULL,21
393603,130,133,1,5,1,1,1,54,NULL,14
393604,130,133,1,5,1,1,1,58,NULL,51
393605,130,133,1,5,1,1,1,62,NULL,41
393606,130,133,1,5,1,1,1,65,NULL,21
393607,130,133,1,5,1,1,1,70,NULL,14
393608,130,133,1,5,1,1,1,71,NULL,71
393609,130,133,1,5,1,1,1,76,NULL,41
393610,130,133,1,5,1,1,1,77,NULL,21
393611,130,133,1,5,1,1,1,82,NULL,41
393612,130,133,1,5,1,1,1,91,NULL,71
393613,130,133,1,5,1,1,1,92,NULL,14
393614,130,133,1,5,1,1,1,94,NULL,71
393615,130,133,1,5,1,1,1,96,NULL,71
393616,130,133,1,5,1,1,1,97,NULL,21
393617,130,133,1,5,1,1,1,102,NULL,51
393618,130,133,1,5,1,1,1,108,NULL,51
393619,130,133,1,5,1,1,1,112,NULL,41
393620,130,133,1,5,1,1,1,114,NULL,51
393621,130,133,1,5,1,1,1,118,NULL,21
393622,130,133,1,5,1,1,1,123,NULL,21
393623,130,133,1,5,1,1,1,125,NULL,71
393624,130,133,1,5,1,1,1,127,NULL,21
393625,130,133,1,5,1,1,1,130,NULL,71
393626,130,133,1,5,1,1,1,139,NULL,41
393627,130,133,1,5,1,1,1,141,NULL,14
393628,130,133,1,5,1,1,1,142,NULL,51
393629,130,133,1,5,1,1,2,1,NULL,21
393630,130,133,1,5,1,1,2,4,NULL,51
393631,130,133,1,5,1,1,2,5,NULL,71
393632,130,133,1,5,1,1,2,7,NULL,51
393633,130,133,1,5,1,1,2,8,NULL,71
393634,130,133,1,5,1,1,2,9,NULL,21
393635,130,133,1,5,1,1,2,11,NULL,21
393636,130,133,1,5,1,1,2,13,NULL,21
393637,130,133,1,5,1,1,2,15,NULL,21
393638,130,133,1,5,1,1,2,18,NULL,21
393639,130,133,1,5,1,1,2,21,NULL,21
393640,130,133,1,5,1,1,2,22,NULL,21
393641,130,133,1,5,1,1,2,23,NULL,71
393642,130,133,1,5,1,1,2,24,NULL,21
393643,130,133,1,5,1,1,2,26,NULL,21
393644,130,133,1,5,1,1,2,28,NULL,21
393645,130,133,1,5,1,1,2,29,NULL,21
393646,130,133,1,5,1,1,2,32,NULL,21
393647,130,133,1,5,1,1,2,33,NULL,21
393648,130,133,1,5,1,1,2,34,NULL,21
393649,130,133,1,5,1,1,2,35,NULL,71
393650,130,133,1,5,1,1,2,36,NULL,21
393651,130,133,1,5,1,1,2,37,NULL,21
393652,130,133,1,5,1,1,2,39,NULL,21
393653,130,133,1,5,1,1,2,41,NULL,21
393654,130,133,1,5,1,1,2,46,NULL,21
393655,130,133,1,5,1,1,2,48,NULL,21
393656,130,133,1,5,1,1,2,49,NULL,71
393657,130,133,1,5,1,1,2,53,NULL,71
393658,130,133,1,5,1,1,2,56,NULL,21
393659,130,133,1,5,1,1,2,63,NULL,51
393660,130,133,1,5,1,1,2,67,NULL,71
393661,130,133,1,5,1,1,2,69,NULL,21
393662,130,133,1,5,1,1,2,74,NULL,71
393663,130,133,1,5,1,1,2,75,NULL,51
393664,130,133,1,5,1,1,2,78,NULL,21
393665,130,133,1,5,1,1,2,79,NULL,21
393666,130,133,1,5,1,1,2,80,NULL,71
393667,130,133,1,5,1,1,2,81,NULL,21
