NUM,PERIODE,SES,SAL,KART,SAK,VOTNR,VOTERING,SETENR,PERSON,PARTI
1,122,124,1,8,4,1,1,75,455,14
2,122,124,1,8,4,1,1,94,889,14
3,122,124,1,8,4,1,2,1,2018,21
4,122,124,1,8,4,1,2,3,236,71
5,122,124,1,8,4,1,2,5,482,21
6,122,124,1,8,4,1,2,7,776,51
7,122,124,1,8,4,1,2,8,486,21
8,122,124,1,8,4,1,2,9,822,41
9,122,124,1,8,4,1,2,10,264,21
10,122,124,1,8,4,1,2,12,257,21
11,122,124,1,8,4,1,2,13,637,71
12,122,124,1,8,4,1,2,14,118,21
13,122,124,1,8,4,1,2,15,416,71
14,122,124,1,8,4,1,2,16,557,21
15,122,124,1,8,4,1,2,17,502,71
16,122,124,1,8,4,1,2,18,365,51
17,122,124,1,8,4,1,2,19,25,41
18,122,124,1,8,4,1,2,20,555,21
19,122,124,1,8,4,1,2,21,43,71
20,122,124,1,8,4,1,2,22,353,21
21,122,124,1,8,4,1,2,24,754,71
22,122,124,1,8,4,1,2,25,884,21
23,122,124,1,8,4,1,2,26,2079,51
24,122,124,1,8,4,1,2,27,226,21
25,122,124,1,8,4,1,2,28,831,21
26,122,124,1,8,4,1,2,29,495,71
27,122,124,1,8,4,1,2,30,634,21
28,122,124,1,8,4,1,2,32,649,21
29,122,124,1,8,4,1,2,33,395,21
30,122,124,1,8,4,1,2,34,459,41
31,122,124,1,8,4,1,2,35,80,21
32,122,124,1,8,4,1,2,36,174,71
33,122,124,1,8,4,1,2,37,35,21
34,122,124,1,8,4,1,2,38,665,21
35,122,124,1,8,4,1,2,39,285,21
36,122,124,1,8,4,1,2,40,356,71
37,122,124,1,8,4,1,2,41,545,51
38,122,124,1,8,4,1,2,42,341,21
39,122,124,1,8,4,1,2,45,306,51
40,122,124,1,8,4,1,2,47,205,21
41,122,124,1,8,4,1,2,48,314,41
42,122,124,1,8,4,1,2,49,711,71
43,122,124,1,8,4,1,2,50,375,21
44,122,124,1,8,4,1,2,52,707,71
45,122,124,1,8,4,1,2,55,783,51
46,122,124,1,8,4,1,2,56,468,71
47,122,124,1,8,4,1,2,57,150,21
48,122,124,1,8,4,1,2,58,2083,41
49,122,124,1,8,4,1,2,60,396,21
50,122,124,1,8,4,1,2,61,789,71
51,122,124,1,8,4,1,2,62,660,31
52,122,124,1,8,4,1,2,63,213,51
53,122,124,1,8,4,1,2,64,207,21
54,122,124,1,8,4,1,2,65,151,21
55,122,124,1,8,4,1,2,66,458,71
56,122,124,1,8,4,1,2,67,745,21
57,122,124,1,8,4,1,2,68,873,51
58,122,124,1,8,4,1,2,69,675,41
59,122,124,1,8,4,1,2,70,411,21
60,122,124,1,8,4,1,2,71,434,71
61,122,124,1,8,4,1,2,73,74,21
62,122,124,1,8,4,1,2,74,421,51
63,122,124,1,8,4,1,2,76,10,21
64,122,124,1,8,4,1,2,77,224,21
65,122,124,1,8,4,1,2,78,677,41
66,122,124,1,8,4,1,2,80,485,71
67,122,124,1,8,4,1,2,81,349,21
68,122,124,1,8,4,1,2,82,135,51
69,122,124,1,8,4,1,2,83,84,21
70,122,124,1,8,4,1,2,84,871,71
71,122,124,1,8,4,1,2,86,503,71
72,122,124,1,8,4,1,2,87,56,21
73,122,124,1,8,4,1,2,88,778,71
74,122,124,1,8,4,1,2,90,309,21
75,122,124,1,8,4,1,2,92,882,21
76,122,124,1,8,4,1,2,93,133,71
77,122,124,1,8,4,1,2,95,149,21
78,122,124,1,8,4,1,2,96,265,71
79,122,124,1,8,4,1,2,97,45,21
80,122,124,1,8,4,1,2,98,48,21
81,122,124,1,8,4,1,2,99,71,71
82,122,124,1,8,4,1,2,100,817,51
83,122,124,1,8,4,1,2,101,2040,21
84,122,124,1,8,4,1,2,102,185,71
85,122,124,1,8,4,1,2,103,308,51
86,122,124,1,8,4,1,2,104,2060,21
87,122,124,1,8,4,1,2,105,823,41
88,122,124,1,8,4,1,2,106,527,71
89,122,124,1,8,4,1,2,107,215,21
90,122,124,1,8,4,1,2,108,894,21
91,122,124,1,8,4,1,2,109,351,51
92,122,124,1,8,4,1,2,110,476,71
93,122,124,1,8,4,1,2,111,779,41
94,122,124,1,8,4,1,2,112,181,21
95,122,124,1,8,4,1,2,113,445,21
96,122,124,1,8,4,1,2,115,819,71
97,122,124,1,8,4,1,2,117,785,51
98,122,124,1,8,4,1,2,118,52,21
99,122,124,1,8,4,1,2,119,701,21
100,122,124,1,8,4,1,2,120,595,71
101,122,124,1,8,4,1,2,121,565,21
102,122,124,1,8,4,1,2,122,903,51
103,122,124,1,8,4,1,2,123,584,21
104,122,124,1,8,4,1,2,124,292,71
105,122,124,1,8,4,1,2,127,382,41
106,122,124,1,8,4,1,2,128,832,71
107,122,124,1,8,4,1,2,129,742,21
108,122,124,1,8,4,1,2,131,906,21
109,122,124,1,8,4,1,2,132,148,71
110,122,124,1,8,4,1,2,133,115,21
111,122,124,1,8,4,1,2,134,201,51
112,122,124,1,8,4,1,2,135,313,21
113,122,124,1,8,4,1,2,137,689,71
114,122,124,1,8,4,1,2,138,192,21
115,122,124,1,8,4,1,2,139,54,21
116,122,124,1,8,4,1,2,140,142,31
117,122,124,1,8,4,1,2,142,838,71
118,122,124,1,8,4,1,2,143,221,21
119,122,124,1,8,4,1,2,144,429,71
120,122,124,1,8,4,1,2,145,68,21
121,122,124,1,8,4,1,2,148,36,21
122,122,124,1,8,4,1,2,149,391,21
123,122,124,1,8,4,1,2,150,2073,71
124,122,124,1,8,4,1,2,154,22,71
125,122,124,1,8,4,1,2,155,798,21
126,122,124,1,8,4,1,2,888,284,21
127,122,124,1,8,4,2,1,1,2018,21
128,122,124,1,8,4,2,1,5,482,21
129,122,124,1,8,4,2,1,8,486,21
130,122,124,1,8,4,2,1,10,264,21
131,122,124,1,8,4,2,1,12,257,21
132,122,124,1,8,4,2,1,14,118,21
133,122,124,1,8,4,2,1,16,557,21
134,122,124,1,8,4,2,1,20,555,21
135,122,124,1,8,4,2,1,22,353,21
136,122,124,1,8,4,2,1,24,754,71
137,122,124,1,8,4,2,1,26,2079,51
138,122,124,1,8,4,2,1,27,226,21
139,122,124,1,8,4,2,1,29,495,71
140,122,124,1,8,4,2,1,31,2010,21
141,122,124,1,8,4,2,1,32,649,21
142,122,124,1,8,4,2,1,34,459,41
143,122,124,1,8,4,2,1,36,174,71
144,122,124,1,8,4,2,1,37,35,21
145,122,124,1,8,4,2,1,38,665,21
146,122,124,1,8,4,2,1,41,545,51
147,122,124,1,8,4,2,1,45,306,51
148,122,124,1,8,4,2,1,48,314,41
149,122,124,1,8,4,2,1,57,150,21
150,122,124,1,8,4,2,1,60,396,21
151,122,124,1,8,4,2,1,62,660,31
152,122,124,1,8,4,2,1,64,207,21
153,122,124,1,8,4,2,1,65,151,21
154,122,124,1,8,4,2,1,67,745,21
155,122,124,1,8,4,2,1,70,411,21
156,122,124,1,8,4,2,1,73,74,21
157,122,124,1,8,4,2,1,75,455,14
158,122,124,1,8,4,2,1,76,10,21
159,122,124,1,8,4,2,1,77,224,21
160,122,124,1,8,4,2,1,81,349,21
161,122,124,1,8,4,2,1,83,84,21
162,122,124,1,8,4,2,1,87,56,21
163,122,124,1,8,4,2,1,90,309,21
164,122,124,1,8,4,2,1,92,882,21
165,122,124,1,8,4,2,1,94,889,14
166,122,124,1,8,4,2,1,95,149,21
167,122,124,1,8,4,2,1,97,45,21
168,122,124,1,8,4,2,1,98,48,21
169,122,124,1,8,4,2,1,101,2040,21
170,122,124,1,8,4,2,1,104,2060,21
171,122,124,1,8,4,2,1,107,215,21
172,122,124,1,8,4,2,1,108,894,21
173,122,124,1,8,4,2,1,112,181,21
174,122,124,1,8,4,2,1,113,445,21
175,122,124,1,8,4,2,1,118,52,21
176,122,124,1,8,4,2,1,119,701,21
177,122,124,1,8,4,2,1,121,565,21
178,122,124,1,8,4,2,1,123,584,21
179,122,124,1,8,4,2,1,129,742,21
180,122,124,1,8,4,2,1,131,906,21
181,122,124,1,8,4,2,1,133,115,21
182,122,124,1,8,4,2,1,135,313,21
183,122,124,1,8,4,2,1,138,192,21
184,122,124,1,8,4,2,1,139,54,21
185,122,124,1,8,4,2,1,140,142,31
186,122,124,1,8,4,2,1,143,221,21
187,122,124,1,8,4,2,1,145,68,21
188,122,124,1,8,4,2,1,148,36,21
189,122,124,1,8,4,2,1,149,391,21
190,122,124,1,8,4,2,1,155,798,21
191,122,124,1,8,4,2,1,888,284,21
192,122,124,1,8,4,2,2,3,236,71
193,122,124,1,8,4,2,2,7,776,51
194,122,124,1,8,4,2,2,9,822,41
195,122,124,1,8,4,2,2,13,637,71
196,122,124,1,8,4,2,2,15,416,71
197,122,124,1,8,4,2,2,17,502,71
198,122,124,1,8,4,2,2,18,365,51
199,122,124,1,8,4,2,2,19,25,41
200,122,124,1,8,4,2,2,21,43,71
201,122,124,1,8,4,2,2,28,831,21
202,122,124,1,8,4,2,2,33,395,21
203,122,124,1,8,4,2,2,35,80,21
204,122,124,1,8,4,2,2,39,285,21
205,122,124,1,8,4,2,2,40,356,71
206,122,124,1,8,4,2,2,44,34,21
207,122,124,1,8,4,2,2,46,640,71
208,122,124,1,8,4,2,2,47,205,21
209,122,124,1,8,4,2,2,50,375,21
210,122,124,1,8,4,2,2,52,707,71
211,122,124,1,8,4,2,2,55,783,51
212,122,124,1,8,4,2,2,56,468,71
213,122,124,1,8,4,2,2,58,2083,41
214,122,124,1,8,4,2,2,61,789,71
215,122,124,1,8,4,2,2,63,213,51
216,122,124,1,8,4,2,2,66,458,71
217,122,124,1,8,4,2,2,68,873,51
218,122,124,1,8,4,2,2,69,675,41
219,122,124,1,8,4,2,2,71,434,71
220,122,124,1,8,4,2,2,74,421,51
221,122,124,1,8,4,2,2,78,677,41
222,122,124,1,8,4,2,2,80,485,71
223,122,124,1,8,4,2,2,82,135,51
224,122,124,1,8,4,2,2,84,871,71
225,122,124,1,8,4,2,2,86,503,71
226,122,124,1,8,4,2,2,88,778,71
227,122,124,1,8,4,2,2,93,133,71
228,122,124,1,8,4,2,2,96,265,71
229,122,124,1,8,4,2,2,99,71,71
230,122,124,1,8,4,2,2,100,817,51
231,122,124,1,8,4,2,2,102,185,71
232,122,124,1,8,4,2,2,103,308,51
233,122,124,1,8,4,2,2,105,823,41
234,122,124,1,8,4,2,2,106,527,71
235,122,124,1,8,4,2,2,109,351,51
236,122,124,1,8,4,2,2,110,476,71
237,122,124,1,8,4,2,2,111,779,41
238,122,124,1,8,4,2,2,115,819,71
239,122,124,1,8,4,2,2,117,785,51
240,122,124,1,8,4,2,2,120,595,71
241,122,124,1,8,4,2,2,122,903,51
242,122,124,1,8,4,2,2,124,292,71
243,122,124,1,8,4,2,2,127,382,41
244,122,124,1,8,4,2,2,128,832,71
245,122,124,1,8,4,2,2,132,148,71
246,122,124,1,8,4,2,2,134,201,51
247,122,124,1,8,4,2,2,137,689,71
248,122,124,1,8,4,2,2,142,838,71
249,122,124,1,8,4,2,2,144,429,71
250,122,124,1,8,4,2,2,150,2073,71
251,122,124,1,8,4,2,2,154,22,71
252,122,124,1,9,1,1,1,2,853,51
253,122,124,1,9,1,1,1,3,236,71
254,122,124,1,9,1,1,1,6,31,71
255,122,124,1,9,1,1,1,13,637,71
256,122,124,1,9,1,1,1,17,502,71
257,122,124,1,9,1,1,1,18,365,51
