NUM,PERIODE,SES,SAL,KART,SAK,VOTNR,VOTERING,SETENR,PERSON,PARTI
2238018,150,151,1,1,3,1,1,5,30603,81
2238022,150,151,1,1,3,1,1,22,2196,71
2238026,150,151,1,1,3,1,1,30,1273,71
2238030,150,151,1,1,3,1,1,48,30708,71
2238034,150,151,1,1,3,1,1,58,2108,31
2238038,150,151,1,1,3,1,1,64,2336,81
2238042,150,151,1,1,3,1,1,85,2323,81
2238046,150,151,1,1,3,1,1,103,30645,81
2238050,150,151,1,1,3,1,1,110,2343,51
2238054,150,151,1,1,3,1,1,124,30624,31
2238058,150,151,1,1,3,1,1,141,4091,81
2238062,150,151,1,1,3,1,1,164,26834,81
2238066,150,151,1,1,3,1,2,3,30884,21
2238070,150,151,1,1,3,1,2,26,27144,41
2238074,150,151,1,1,3,1,2,39,2245,14
2238078,150,151,1,1,3,1,2,45,30687,41
2238082,150,151,1,1,3,1,2,60,30661,21
2238086,150,151,1,1,3,1,2,76,30208,14
2238090,150,151,1,1,3,1,2,90,1146,21
2238094,150,151,1,1,3,1,2,100,30211,14
2238098,150,151,1,1,3,1,2,116,30695,21
2238102,150,151,1,1,3,1,2,133,30735,21
2238106,150,151,1,1,3,1,2,139,30849,21
2238110,150,151,1,1,3,1,2,150,30118,41
2238114,150,151,1,1,3,1,2,159,30758,21
2238118,150,151,1,1,3,2,1,4,30941,51
2238122,150,151,1,1,3,2,1,15,30795,81
2238126,150,151,1,1,3,2,1,28,2292,81
2238130,150,151,1,1,3,2,1,43,2330,81
2238134,150,151,1,1,3,2,1,54,26853,51
2238138,150,151,1,1,3,2,1,62,26849,71
2238142,150,151,1,1,3,2,1,77,30219,81
2238146,150,151,1,1,3,2,1,89,30458,71
2238150,150,151,1,1,3,2,1,106,27577,51
2238154,150,151,1,1,3,2,1,115,2293,31
2238158,150,151,1,1,3,2,1,126,26884,81
2238017,150,151,1,1,3,1,1,4,30941,51
2238021,150,151,1,1,3,1,1,15,30795,81
2238025,150,151,1,1,3,1,1,28,2292,81
2238029,150,151,1,1,3,1,1,43,2330,81
2238033,150,151,1,1,3,1,1,56,26513,71
2238037,150,151,1,1,3,1,1,63,4173,51
2238041,150,151,1,1,3,1,1,82,2315,51
2238045,150,151,1,1,3,1,1,98,2311,81
2238049,150,151,1,1,3,1,1,109,2239,71
2238053,150,151,1,1,3,1,1,122,30614,81
2238057,150,151,1,1,3,1,1,137,4133,71
2238061,150,151,1,1,3,1,1,156,30434,71
2238065,150,151,1,1,3,1,2,1,2170,21
2238069,150,151,1,1,3,1,2,17,30640,21
2238073,150,151,1,1,3,1,2,37,1204,21
2238077,150,151,1,1,3,1,2,44,30879,21
2238081,150,151,1,1,3,1,2,57,2332,14
2238085,150,151,1,1,3,1,2,73,2111,21
2238089,150,151,1,1,3,1,2,88,30451,21
2238093,150,151,1,1,3,1,2,99,30931,21
2238097,150,151,1,1,3,1,2,108,2154,21
2238101,150,151,1,1,3,1,2,127,2299,21
2238105,150,151,1,1,3,1,2,138,30324,21
2238109,150,151,1,1,3,1,2,149,30698,21
2238113,150,151,1,1,3,1,2,157,30826,21
2238117,150,151,1,1,3,1,2,888,2127,21
2238121,150,151,1,1,3,2,1,9,30683,81
2238125,150,151,1,1,3,2,1,25,26765,71
2238129,150,151,1,1,3,2,1,38,30860,81
2238133,150,151,1,1,3,2,1,53,26840,81
2238137,150,151,1,1,3,2,1,59,30328,81
2238141,150,151,1,1,3,2,1,71,2334,31
2238145,150,151,1,1,3,2,1,85,2323,81
2238149,150,151,1,1,3,2,1,103,30645,81
2238153,150,151,1,1,3,2,1,110,2343,51
2238157,150,151,1,1,3,2,1,124,30624,31
2238019,150,151,1,1,3,1,1,7,2338,51
2238023,150,151,1,1,3,1,1,24,27164,81
2238027,150,151,1,1,3,1,1,31,30853,81
2238031,150,151,1,1,3,1,1,51,1155,71
2238035,150,151,1,1,3,1,1,59,30328,81
2238039,150,151,1,1,3,1,1,71,2334,31
2238043,150,151,1,1,3,1,1,89,30458,71
2238047,150,151,1,1,3,1,1,106,27577,51
2238051,150,151,1,1,3,1,1,115,2293,31
2238055,150,151,1,1,3,1,1,126,26884,81
2238059,150,151,1,1,3,1,1,147,2162,71
2238063,150,151,1,1,3,1,1,167,30812,81
2238067,150,151,1,1,3,1,2,11,26896,21
2238071,150,151,1,1,3,1,2,29,1330,21
2238075,150,151,1,1,3,1,2,41,30674,21
2238079,150,151,1,1,3,1,2,47,1289,14
2238083,150,151,1,1,3,1,2,68,30746,21
2238087,150,151,1,1,3,1,2,78,2308,21
2238091,150,151,1,1,3,1,2,94,26891,14
2238095,150,151,1,1,3,1,2,102,30046,21
2238099,150,151,1,1,3,1,2,117,1357,41
2238103,150,151,1,1,3,1,2,135,30104,14
2238107,150,151,1,1,3,1,2,140,2213,41
2238111,150,151,1,1,3,1,2,152,30679,21
2238115,150,151,1,1,3,1,2,163,30428,21
2238119,150,151,1,1,3,2,1,5,30603,81
2238123,150,151,1,1,3,2,1,22,2196,71
2238127,150,151,1,1,3,2,1,30,1273,71
2238131,150,151,1,1,3,2,1,48,30708,71
2238135,150,151,1,1,3,2,1,56,26513,71
2238139,150,151,1,1,3,2,1,63,4173,51
2238143,150,151,1,1,3,2,1,80,30919,71
2238147,150,151,1,1,3,2,1,95,142,31
2238151,150,151,1,1,3,2,1,107,30677,81
2238155,150,151,1,1,3,2,1,119,30210,51
2238159,150,151,1,1,3,2,1,134,30162,81
2238020,150,151,1,1,3,1,1,9,30683,81
2238024,150,151,1,1,3,1,1,25,26765,71
2238028,150,151,1,1,3,1,1,38,30860,81
2238032,150,151,1,1,3,1,1,53,26840,81
2238036,150,151,1,1,3,1,1,62,26849,71
2238040,150,151,1,1,3,1,1,77,30219,81
2238044,150,151,1,1,3,1,1,95,142,31
2238048,150,151,1,1,3,1,1,107,30677,81
2238052,150,151,1,1,3,1,1,119,30210,51
2238056,150,151,1,1,3,1,1,134,30162,81
2238060,150,151,1,1,3,1,1,151,30831,81
2238064,150,151,1,1,3,1,1,169,30374,51
