NUM,PERIODE,SES,SAL,KART,SAK,VOTNR,VOTERING,SETENR,PERSON,PARTI
2122254,146,149,1,1,1,3,1,4,2302,81
2122258,146,149,1,1,1,3,1,46,27243,81
2122262,146,149,1,1,1,3,1,73,2317,81
2122266,146,149,1,1,1,3,1,100,2311,81
2122270,146,149,1,1,1,3,1,152,1342,81
2122274,146,149,1,1,1,3,2,3,2098,21
2122278,146,149,1,1,1,3,2,8,2338,51
2122282,146,149,1,1,1,3,2,12,1219,71
2122286,146,149,1,1,1,3,2,19,2106,21
2122290,146,149,1,1,1,3,2,28,1330,21
2122294,146,149,1,1,1,3,2,32,1025,21
2122298,146,149,1,1,1,3,2,38,1289,14
2122302,146,149,1,1,1,3,2,43,30067,51
2122306,146,149,1,1,1,3,2,49,26513,71
2122310,146,149,1,1,1,3,2,55,30206,14
2122314,146,149,1,1,1,3,2,63,2191,71
2122318,146,149,1,1,1,3,2,68,26527,71
2122322,146,149,1,1,1,3,2,85,27163,71
2122326,146,149,1,1,1,3,2,90,2301,71
2122330,146,149,1,1,1,3,2,95,30421,21
2122334,146,149,1,1,1,3,2,99,2322,51
2122338,146,149,1,1,1,3,2,105,2325,21
2122342,146,149,1,1,1,3,2,111,30210,51
2122346,146,149,1,1,1,3,2,116,1357,41
2122350,146,149,1,1,1,3,2,120,2294,71
2122354,146,149,1,1,1,3,2,127,2329,51
2122358,146,149,1,1,1,3,2,135,2224,41
2122362,146,149,1,1,1,3,2,142,2113,14
2122366,146,149,1,1,1,3,2,150,30434,71
2122370,146,149,1,1,1,3,2,161,30428,21
2122374,146,149,1,1,1,4,1,4,2302,81
2122378,146,149,1,1,1,4,1,42,2152,41
2122382,146,149,1,1,1,4,1,59,30423,41
2122386,146,149,1,1,1,4,1,73,2317,81
2122390,146,149,1,1,1,4,1,94,269,81
2122394,146,149,1,1,1,4,1,118,2141,41
2122398,146,149,1,1,1,4,1,152,1342,81
2122402,146,149,1,1,1,4,2,3,2098,21
2122406,146,149,1,1,1,4,2,8,2338,51
2122410,146,149,1,1,1,4,2,12,1219,71
2122414,146,149,1,1,1,4,2,19,2106,21
2122418,146,149,1,1,1,4,2,28,1330,21
2122422,146,149,1,1,1,4,2,32,1025,21
2122426,146,149,1,1,1,4,2,38,1289,14
2122430,146,149,1,1,1,4,2,44,2157,71
2122434,146,149,1,1,1,4,2,50,30120,21
2122438,146,149,1,1,1,4,2,58,30165,51
2122442,146,149,1,1,1,4,2,66,1105,21
2122446,146,149,1,1,1,4,2,80,30208,14
2122450,146,149,1,1,1,4,2,90,2301,71
2122454,146,149,1,1,1,4,2,95,30421,21
2122458,146,149,1,1,1,4,2,99,2322,51
2122257,146,149,1,1,1,3,1,40,2330,81
2122261,146,149,1,1,1,3,1,69,2336,81
2122265,146,149,1,1,1,3,1,94,269,81
2122269,146,149,1,1,1,3,1,144,2318,81
2122273,146,149,1,1,1,3,2,2,2297,51
2122277,146,149,1,1,1,3,2,7,2136,21
2122281,146,149,1,1,1,3,2,11,2119,21
2122285,146,149,1,1,1,3,2,17,2340,51
2122289,146,149,1,1,1,3,2,25,2127,21
2122293,146,149,1,1,1,3,2,31,2291,51
2122297,146,149,1,1,1,3,2,37,1003,21
2122301,146,149,1,1,1,3,2,42,2152,41
2122305,146,149,1,1,1,3,2,48,2332,14
2122309,146,149,1,1,1,3,2,53,26849,71
2122313,146,149,1,1,1,3,2,60,30056,71
2122317,146,149,1,1,1,3,2,67,30209,14
2122321,146,149,1,1,1,3,2,80,30208,14
2122325,146,149,1,1,1,3,2,89,2309,21
2122329,146,149,1,1,1,3,2,93,30213,71
2122333,146,149,1,1,1,3,2,98,2086,21
2122337,146,149,1,1,1,3,2,104,26941,71
2122341,146,149,1,1,1,3,2,110,30311,71
2122345,146,149,1,1,1,3,2,115,30427,71
2122349,146,149,1,1,1,3,2,119,30160,51
2122353,146,149,1,1,1,3,2,126,2299,21
2122357,146,149,1,1,1,3,2,134,2307,21
2122361,146,149,1,1,1,3,2,141,4121,71
2122365,146,149,1,1,1,3,2,148,30216,14
2122369,146,149,1,1,1,3,2,158,2110,21
2122373,146,149,1,1,1,3,2,888,1019,21
2122377,146,149,1,1,1,4,1,40,2330,81
2122381,146,149,1,1,1,4,1,57,30376,81
2122385,146,149,1,1,1,4,1,70,2107,41
2122389,146,149,1,1,1,4,1,88,2323,81
2122393,146,149,1,1,1,4,1,116,1357,41
2122397,146,149,1,1,1,4,1,144,2318,81
2122401,146,149,1,1,1,4,2,2,2297,51
2122405,146,149,1,1,1,4,2,7,2136,21
2122409,146,149,1,1,1,4,2,11,2119,21
2122413,146,149,1,1,1,4,2,17,2340,51
2122417,146,149,1,1,1,4,2,25,2127,21
2122421,146,149,1,1,1,4,2,31,2291,51
2122425,146,149,1,1,1,4,2,37,1003,21
2122429,146,149,1,1,1,4,2,43,30067,51
2122433,146,149,1,1,1,4,2,49,26513,71
2122437,146,149,1,1,1,4,2,55,30206,14
2122441,146,149,1,1,1,4,2,65,2184,51
2122445,146,149,1,1,1,4,2,76,2315,51
2122449,146,149,1,1,1,4,2,89,2309,21
2122453,146,149,1,1,1,4,2,93,30213,71
2122457,146,149,1,1,1,4,2,98,2086,21
2122256,146,149,1,1,1,3,1,22,30420,81
2122260,146,149,1,1,1,3,1,64,1157,81
2122264,146,149,1,1,1,3,1,88,2323,81
2122268,146,149,1,1,1,3,1,138,2333,81
2122272,146,149,1,1,1,3,2,1,30220,71
2122276,146,149,1,1,1,3,2,6,4137,71
2122280,146,149,1,1,1,3,2,10,2196,71
2122284,146,149,1,1,1,3,2,15,2145,21
2122288,146,149,1,1,1,3,2,24,26765,71
2122292,146,149,1,1,1,3,2,30,26517,71
2122296,146,149,1,1,1,3,2,35,1204,21
2122300,146,149,1,1,1,3,2,41,27136,21
2122304,146,149,1,1,1,3,2,45,1006,21
2122308,146,149,1,1,1,3,2,52,2156,51
2122312,146,149,1,1,1,3,2,59,30423,41
2122316,146,149,1,1,1,3,2,66,1105,21
2122320,146,149,1,1,1,3,2,76,2315,51
2122324,146,149,1,1,1,3,2,87,30340,14
2122328,146,149,1,1,1,3,2,92,1120,14
2122332,146,149,1,1,1,3,2,97,30431,14
2122336,146,149,1,1,1,3,2,102,26788,71
2122340,146,149,1,1,1,3,2,109,2154,21
2122344,146,149,1,1,1,3,2,114,2129,21
2122348,146,149,1,1,1,3,2,118,2141,41
2122352,146,149,1,1,1,3,2,125,30416,14
2122356,146,149,1,1,1,3,2,132,4131,51
2122360,146,149,1,1,1,3,2,139,2312,51
2122364,146,149,1,1,1,3,2,147,2151,21
2122368,146,149,1,1,1,3,2,154,30491,14
2122372,146,149,1,1,1,3,2,163,30418,14
2122376,146,149,1,1,1,4,1,22,30420,81
2122380,146,149,1,1,1,4,1,51,26840,81
2122384,146,149,1,1,1,4,1,69,2336,81
2122388,146,149,1,1,1,4,1,86,30218,41
2122392,146,149,1,1,1,4,1,108,1152,98
2122396,146,149,1,1,1,4,1,138,2333,81
2122400,146,149,1,1,1,4,2,1,30220,71
2122404,146,149,1,1,1,4,2,6,4137,71
2122408,146,149,1,1,1,4,2,10,2196,71
2122412,146,149,1,1,1,4,2,15,2145,21
2122416,146,149,1,1,1,4,2,24,26765,71
2122420,146,149,1,1,1,4,2,30,26517,71
2122424,146,149,1,1,1,4,2,35,1204,21
2122428,146,149,1,1,1,4,2,41,27136,21
2122432,146,149,1,1,1,4,2,48,2332,14
2122436,146,149,1,1,1,4,2,53,26849,71
2122440,146,149,1,1,1,4,2,63,2191,71
2122444,146,149,1,1,1,4,2,68,26527,71
2122448,146,149,1,1,1,4,2,87,30340,14
2122452,146,149,1,1,1,4,2,92,1120,14
2122456,146,149,1,1,1,4,2,97,30431,14
2122460,146,149,1,1,1,4,2,102,26788,71
2122255,146,149,1,1,1,3,1,13,2288,81
2122259,146,149,1,1,1,3,1,51,26840,81
2122263,146,149,1,1,1,3,1,81,30219,81
2122267,146,149,1,1,1,3,1,108,1152,98
2122271,146,149,1,1,1,3,1,165,27083,81
2122275,146,149,1,1,1,3,2,5,1138,51
2122279,146,149,1,1,1,3,2,9,30151,71
2122283,146,149,1,1,1,3,2,14,2287,14
2122287,146,149,1,1,1,3,2,20,2278,71
2122291,146,149,1,1,1,3,2,29,30419,14
2122295,146,149,1,1,1,3,2,33,2245,14
2122299,146,149,1,1,1,3,2,39,2126,71
2122303,146,149,1,1,1,3,2,44,2157,71
2122307,146,149,1,1,1,3,2,50,30120,21
2122311,146,149,1,1,1,3,2,58,30165,51
2122315,146,149,1,1,1,3,2,65,2184,51
2122319,146,149,1,1,1,3,2,70,2107,41
2122323,146,149,1,1,1,3,2,86,30218,41
2122327,146,149,1,1,1,3,2,91,1337,21
2122331,146,149,1,1,1,3,2,96,30207,71
2122335,146,149,1,1,1,3,2,101,30064,31
2122339,146,149,1,1,1,3,2,107,1221,51
2122343,146,149,1,1,1,3,2,112,2298,14
2122347,146,149,1,1,1,3,2,117,1218,21
2122351,146,149,1,1,1,3,2,122,2218,21
2122355,146,149,1,1,1,3,2,129,4134,71
2122359,146,149,1,1,1,3,2,136,1251,21
2122363,146,149,1,1,1,3,2,143,2303,21
2122367,146,149,1,1,1,3,2,153,27563,71
2122371,146,149,1,1,1,3,2,162,1129,51
2122375,146,149,1,1,1,4,1,13,2288,81
2122379,146,149,1,1,1,4,1,46,27243,81
2122383,146,149,1,1,1,4,1,64,1157,81
2122387,146,149,1,1,1,4,1,81,30219,81
2122391,146,149,1,1,1,4,1,100,2311,81
2122395,146,149,1,1,1,4,1,135,2224,41
2122399,146,149,1,1,1,4,1,165,27083,81
2122403,146,149,1,1,1,4,2,5,1138,51
2122407,146,149,1,1,1,4,2,9,30151,71
2122411,146,149,1,1,1,4,2,14,2287,14
2122415,146,149,1,1,1,4,2,20,2278,71
2122419,146,149,1,1,1,4,2,29,30419,14
2122423,146,149,1,1,1,4,2,33,2245,14
2122427,146,149,1,1,1,4,2,39,2126,71
2122431,146,149,1,1,1,4,2,45,1006,21
2122435,146,149,1,1,1,4,2,52,2156,51
2122439,146,149,1,1,1,4,2,60,30056,71
2122443,146,149,1,1,1,4,2,67,30209,14
2122447,146,149,1,1,1,4,2,85,27163,71
2122451,146,149,1,1,1,4,2,91,1337,21
2122455,146,149,1,1,1,4,2,96,30207,71
2122459,146,149,1,1,1,4,2,101,30064,31
2122462,146,149,1,1,1,4,2,105,2325,21
2122466,146,149,1,1,1,4,2,111,30210,51
2122470,146,149,1,1,1,4,2,117,1218,21
2122474,146,149,1,1,1,4,2,125,30416,14
2122478,146,149,1,1,1,4,2,132,4131,51
2122482,146,149,1,1,1,4,2,141,4121,71
2122486,146,149,1,1,1,4,2,148,30216,14
2122490,146,149,1,1,1,4,2,158,2110,21
2122494,146,149,1,1,1,4,2,888,1019,21
2122498,146,149,1,1,1,5,1,40,2330,81
2122502,146,149,1,1,1,5,1,57,30376,81
2122506,146,149,1,1,1,5,1,70,2107,41
2122510,146,149,1,1,1,5,1,88,2323,81
2122514,146,149,1,1,1,5,1,118,2141,41
2122518,146,149,1,1,1,5,1,152,1342,81
2122522,146,149,1,1,1,5,2,3,2098,21
2122526,146,149,1,1,1,5,2,8,2338,51
