NUM,PERIODE,SES,SAL,KART,SAK,VOTNR,VOTERING,SETENR,PERSON,PARTI
200093,126,129,1,2,1,1,1,6,NULL,21
200094,126,129,1,2,1,1,1,11,NULL,21
200095,126,129,1,2,1,1,1,13,NULL,21
200096,126,129,1,2,1,1,1,17,NULL,21
200097,126,129,1,2,1,1,1,19,NULL,81
200098,126,129,1,2,1,1,1,24,NULL,21
200099,126,129,1,2,1,1,1,26,NULL,21
200100,126,129,1,2,1,1,1,27,NULL,21
200101,126,129,1,2,1,1,1,29,NULL,21
200102,126,129,1,2,1,1,1,31,NULL,21
200103,126,129,1,2,1,1,1,32,NULL,21
200104,126,129,1,2,1,1,1,34,NULL,21
200105,126,129,1,2,1,1,1,37,NULL,21
200106,126,129,1,2,1,1,1,40,NULL,21
200107,126,129,1,2,1,1,1,43,NULL,21
200108,126,129,1,2,1,1,1,45,NULL,21
200109,126,129,1,2,1,1,1,50,NULL,21
200110,126,129,1,2,1,1,1,52,NULL,14
200111,126,129,1,2,1,1,1,53,NULL,31
200112,126,129,1,2,1,1,1,54,NULL,21
200113,126,129,1,2,1,1,1,63,NULL,31
200114,126,129,1,2,1,1,1,64,NULL,21
200115,126,129,1,2,1,1,1,66,NULL,21
200116,126,129,1,2,1,1,1,69,NULL,21
200117,126,129,1,2,1,1,1,70,NULL,51
200118,126,129,1,2,1,1,1,71,NULL,14
200119,126,129,1,2,1,1,1,77,NULL,21
200120,126,129,1,2,1,1,1,86,NULL,21
200121,126,129,1,2,1,1,1,88,NULL,21
200122,126,129,1,2,1,1,1,91,NULL,14
200123,126,129,1,2,1,1,1,92,NULL,21
200124,126,129,1,2,1,1,1,99,NULL,21
200125,126,129,1,2,1,1,1,102,NULL,21
200126,126,129,1,2,1,1,1,105,NULL,21
200127,126,129,1,2,1,1,1,108,NULL,21
200128,126,129,1,2,1,1,1,111,NULL,21
200129,126,129,1,2,1,1,1,113,NULL,21
200130,126,129,1,2,1,1,1,115,NULL,21
200131,126,129,1,2,1,1,1,119,NULL,21
200132,126,129,1,2,1,1,1,121,NULL,21
200133,126,129,1,2,1,1,1,123,NULL,21
200134,126,129,1,2,1,1,1,124,NULL,51
200135,126,129,1,2,1,1,1,127,NULL,21
200136,126,129,1,2,1,1,1,129,NULL,21
200137,126,129,1,2,1,1,1,131,NULL,21
200138,126,129,1,2,1,1,1,144,NULL,21
200139,126,129,1,2,1,1,1,146,NULL,21
200140,126,129,1,2,1,1,1,148,NULL,21
200141,126,129,1,2,1,1,2,3,NULL,51
200142,126,129,1,2,1,1,2,5,NULL,71
200143,126,129,1,2,1,1,2,7,NULL,51
200144,126,129,1,2,1,1,2,8,NULL,71
200145,126,129,1,2,1,1,2,12,NULL,71
200146,126,129,1,2,1,1,2,18,NULL,71
200147,126,129,1,2,1,1,2,23,NULL,71
200148,126,129,1,2,1,1,2,25,NULL,41
200149,126,129,1,2,1,1,2,33,NULL,71
200150,126,129,1,2,1,1,2,38,NULL,71
200151,126,129,1,2,1,1,2,44,NULL,71
200152,126,129,1,2,1,1,2,47,NULL,51
200153,126,129,1,2,1,1,2,48,NULL,81
200154,126,129,1,2,1,1,2,49,NULL,71
