NUM,PERIODE,SES,SAL,KART,SAK,VOTNR,VOTERING,SETENR,PERSON,PARTI
2363958,150,153,1,1,1,1,1,24,27164,81
2363962,150,153,1,1,1,1,1,53,30328,81
2363966,150,153,1,1,1,1,1,103,30645,81
2363970,150,153,1,1,1,1,1,126,26884,81
2363974,150,153,1,1,1,1,1,158,30159,81
2363978,150,153,1,1,1,1,2,4,2297,51
2363982,150,153,1,1,1,1,2,17,30626,21
2363986,150,153,1,1,1,1,2,25,26765,71
2363990,150,153,1,1,1,1,2,33,30419,14
2363994,150,153,1,1,1,1,2,42,1003,21
2363998,150,153,1,1,1,1,2,51,1155,71
2363956,150,153,1,1,1,1,1,9,30683,81
2363960,150,153,1,1,1,1,1,38,30860,81
2363964,150,153,1,1,1,1,1,77,30219,81
2363968,150,153,1,1,1,1,1,113,30871,81
2363972,150,153,1,1,1,1,1,151,30831,81
2363976,150,153,1,1,1,1,1,167,30812,81
2363980,150,153,1,1,1,1,2,8,30151,71
2363984,150,153,1,1,1,1,2,22,2196,71
2363988,150,153,1,1,1,1,2,29,1330,21
2363992,150,153,1,1,1,1,2,39,2245,14
2363996,150,153,1,1,1,1,2,46,30837,21
2364000,150,153,1,1,1,1,2,54,2177,51
2363955,150,153,1,1,1,1,1,2,2302,81
2363959,150,153,1,1,1,1,1,28,2292,81
2363963,150,153,1,1,1,1,1,74,2317,81
2363967,150,153,1,1,1,1,1,111,30045,81
2363971,150,153,1,1,1,1,1,141,4091,81
2363975,150,153,1,1,1,1,1,164,26834,81
2363979,150,153,1,1,1,1,2,6,2136,21
2363983,150,153,1,1,1,1,2,19,4066,31
2363987,150,153,1,1,1,1,2,26,30947,41
2363991,150,153,1,1,1,1,2,36,30637,21
2363995,150,153,1,1,1,1,2,44,30879,21
2363999,150,153,1,1,1,1,2,52,30788,21
2363957,150,153,1,1,1,1,1,20,30943,81
2363961,150,153,1,1,1,1,1,50,27243,81
2363965,150,153,1,1,1,1,1,85,2323,81
2363969,150,153,1,1,1,1,1,122,30614,81
2363973,150,153,1,1,1,1,1,155,30850,81
2363977,150,153,1,1,1,1,2,1,2170,21
2363981,150,153,1,1,1,1,2,11,26528,21
2363985,150,153,1,1,1,1,2,23,30640,21
2363989,150,153,1,1,1,1,2,32,30907,21
2363993,150,153,1,1,1,1,2,40,30813,31
2363997,150,153,1,1,1,1,2,48,30708,71
2364002,150,153,1,1,1,1,2,56,26513,71
2364006,150,153,1,1,1,1,2,62,26849,71
2364010,150,153,1,1,1,1,2,70,30856,41
2364014,150,153,1,1,1,1,2,76,30208,14
2364018,150,153,1,1,1,1,2,82,2315,51
2364022,150,153,1,1,1,1,2,88,30451,21
2364026,150,153,1,1,1,1,2,95,142,31
2364030,150,153,1,1,1,1,2,105,30805,21
2364034,150,153,1,1,1,1,2,115,2293,31
2364038,150,153,1,1,1,1,2,127,2299,21
2364042,150,153,1,1,1,1,2,143,30662,31
2364046,150,153,1,1,1,1,2,150,30118,41
2364050,150,153,1,1,1,1,2,156,30434,71
2364054,150,153,1,1,1,1,2,163,30428,21
2364058,150,153,1,1,1,2,1,2,2302,81
2364062,150,153,1,1,1,2,1,22,2196,71
2364066,150,153,1,1,1,2,1,38,30860,81
2364070,150,153,1,1,1,2,1,51,1155,71
2364074,150,153,1,1,1,2,1,66,26527,71
2364078,150,153,1,1,1,2,1,85,2323,81
2364082,150,153,1,1,1,2,1,109,2239,71
2364086,150,153,1,1,1,2,1,126,26884,81
2364090,150,153,1,1,1,2,1,156,30434,71
2364094,150,153,1,1,1,2,1,167,30812,81
2364098,150,153,1,1,1,2,2,11,26528,21
2364102,150,153,1,1,1,2,2,26,30947,41
2364106,150,153,1,1,1,2,2,36,30637,21
2364110,150,153,1,1,1,2,2,46,30837,21
2364114,150,153,1,1,1,2,2,57,2332,14
2364118,150,153,1,1,1,2,2,69,2184,51
2364122,150,153,1,1,1,2,2,75,30429,21
2364126,150,153,1,1,1,2,2,82,2315,51
2364130,150,153,1,1,1,2,2,88,30451,21
2364134,150,153,1,1,1,2,2,99,30931,21
2364138,150,153,1,1,1,2,2,110,2343,51
2364142,150,153,1,1,1,2,2,125,2218,21
2364146,150,153,1,1,1,2,2,142,27082,14
2364150,150,153,1,1,1,2,2,149,30873,21
2364154,150,153,1,1,1,2,2,154,30737,21
2364158,150,153,1,1,1,2,2,163,30428,21
2364162,150,153,1,4,6,1,1,3,30884,21
2364166,150,153,1,4,6,1,1,18,2287,14
2364170,150,153,1,4,6,1,1,29,1330,21
2364174,150,153,1,4,6,1,1,37,1193,21
