person_id,personal_id,initials,first_name,last_name,position_no,position_en,party_id,period_id,constituency_code_new,constituency_name,rep_id,sup_id
11756,,,Peder Thomassen,Landvig,Gaardbruker,Farmer,98,19,9900,Nedenes amt,,1
11364,,,Peder Thorsen,Hovland,Gaardbruker,Farmer,71,68,14120,2. Ytre Sogn,1,
11364,,,Peder Thorsen,Hovland,Gårdbruker,Farmer,41,80,14900,Sogn og Fjordane fylke,4,
11364,,,Peder Thorsen,Hovland,Gårdbruker,Farmer,41,83,14900,Sogn og Fjordane fylke,5,
13028,,,Peder Thorvald Olsen,Tveten,Landbruksskolelærer,Teacher in an agricultural school,31,59,8140,4. Vest-Telemarken,,1
10054,,,Peder Tjøstolfsen,Aas,Gaardbruker,Farmer,63,56,9110,1. Holt,1,
10665,,,Peder Tobias,Eiesland,Sogneprest,Vicar,52,38,10900,Lister og Mandals Amt,4,
10665,,,Peder Tobias,Eiesland,Sogneprest,Vicar,31,44,10900,Lister og Mandals Amt,2,
10665,,,Peder Tobias,Eiesland,Sogneprest,Vicar,31,47,10900,Lister og Mandals Amt,2,
12984,,,Peder Tobias,Tollefsen,Kjøbmand,Merchant,71,65,8050,Porsgrund,,1
12984,,,Peder Tobias,Tollefsen,Kjøbmand,Merchant,71,68,8050,Porsgrund,1,
11410,,,Peder Tollefsen,Ilsaas,"Gaardbruker, skogeier",Farmer and forrest owner,98,1,4900,Hedemarkens Amt,1,
12470,,,Peder Valentin,Rosenkilde,"Kjøbmand, stadskaptein","Merchant, town captain",98,0,11030,Stavanger,1,
12470,,,Peder Valentin,Rosenkilde,"Stadshauptmand, overvraker","Town captain, head sorter",98,3,11030,Stavanger,1,
11540,,,Peder Willumsen,Juell,Provst,Dean,98,3,2900,Akershus Amt,3,
30149,5004233,PBD,Peggy Bolstad,Davidsen,Aktivitør,Assistant occupational therapist,14,146,18900,Nordland fylke,,4
3,19,PEAL,Per,Almaas,Skoleinspektør,Deputy head (in school),21,94,16900,Sør-Trøndelag fylke,3,
81,363,PEBO,Per,Borten,Fylkesagronom,Chief county agronomian officer,41,94,16900,Sør-Trøndelag fylke,4,
81,363,PEBO,Per,Borten,Fylkesagronom,Chief county agronomian officer,41,98,16900,Sør-Trøndelag fylke,6,
81,363,PEBO,Per,Borten,Fylkesagronom,Chief county agronomian officer,41,102,16900,Sør-Trøndelag fylke,6,
81,363,PEBO,Per,Borten,Fylkesagronom,Chief county agronomian officer,41,106,16900,Sør-Trøndelag fylke,4,
81,363,PEBO,Per,Borten,Odelstingpresident,President of the Odelsting,41,110,16900,Sør-Trøndelag fylke,5,
81,363,PEBO,Per,Borten,Fylkesagronom,Chief county agronomian officer,41,114,16900,Sør-Trøndelag fylke,4,
81,363,PEBO,Per,Borten,Fylkesagronom,Chief county agronomian officer,41,118,16900,Sør-Trøndelag fylke,5,
133,535,PEDI,Per,Ditlev-Simon,Skipsreder,Shipowner,71,122,3900,Oslo,,1
133,535,PEDI,Per,Ditlev-Simon,Adm.dir,General director,71,126,3900,Oslo,12,
356,1205,PEHY,Per,Hysing-Dahl,Direktør,Chief executive,71,114,12900,Hordaland fylke,9,
356,1205,PEHY,Per,Hysing-Dahl,Adm.dir,General director,71,118,12900,Hordaland fylke,3,
356,1205,PEHY,Per,Hysing-Dahl,Adm.dir,General director,71,122,12900,Hordaland fylke,2,
356,1205,PEHY,Per,Hysing-Dahl,Adm.dir,General director,71,126,12900,Hordaland fylke,1,
420,1392,PEKL,Per,Kleppe,Stud.oecon,Economy student,21,98,3900,Oslo,,3
522,1646,PELØ,Per,Lønning,"Lektor, dr.theol","Master (Norw. <em>'lektor'</em>), dr.theol",71,102,3900,Oslo,10,
522,1646,PELØ,Per,Lønning,Lektor,Master (Norw. <em>'lektor'</em>),71,106,3900,Oslo,11,
539,1695,PEME,Per,Mellesmo,Gartner,Gardener,21,98,5900,Oppland fylke,,1
539,1695,PEME,Per,Mellesmo,Gartner,Gardener,21,102,5900,Oppland fylke,,1
539,1695,PEME,Per,Mellesmo,Gartner,Gardener,21,106,5900,Oppland fylke,,1
539,1695,PEME,Per,Mellesmo,Gartner,Gardener,21,110,5900,Oppland fylke,4,
539,1695,PEME,Per,Mellesmo,Gartner,Gardener,21,114,5900,Oppland fylke,2,
539,1695,PEME,Per,Mellesmo,Gartner,Gardener,21,118,5900,Oppland fylke,4,
599,1883,PENY,Per,Nyhus,Overlege,Head physician,21,126,3900,Oslo,,3
733,2309,PESO,Per,Sonerud,Banksekretær,Bank secretary,71,110,1900,Østfold fylke,7,
1104,133,PEAU,Per,Aunet,Høyskolelektor,Lecturer,14,134,17900,Nord-Trøndelag fylke,4,
1298,1732,PEMO,Per,Mohn,Lektor,Master (Norw. <em>'lektor'</em>),81,134,2900,Akershus fylke,,2
2192,2221,PS,Per,Skau,Sekretær,Secretary,21,138,3900,Oslo,,5
