NUM,PERIODE,SES,SAL,KART,SAK,VOTNR,VOTERING,SETENR,PERSON,PARTI
1717145,142,143,1,2,1,1,1,1,2098,21
1717146,142,143,1,2,1,1,1,3,2302,81
1717147,142,143,1,2,1,1,1,4,2306,21
1717148,142,143,1,2,1,1,1,8,2158,71
1717149,142,143,1,2,1,1,1,10,141,21
1717150,142,143,1,2,1,1,1,12,4067,81
1717151,142,143,1,2,1,1,1,13,2119,21
1717152,142,143,1,2,1,1,1,14,2196,71
1717153,142,143,1,2,1,1,1,15,2106,21
1717154,142,143,1,2,1,1,1,17,26519,81
1717155,142,143,1,2,1,1,1,18,2145,21
1717156,142,143,1,2,1,1,1,19,1219,71
1717157,142,143,1,2,1,1,1,20,2287,14
1717158,142,143,1,2,1,1,1,27,1273,71
1717159,142,143,1,2,1,1,1,30,1330,21
1717160,142,143,1,2,1,1,1,32,2117,21
1717161,142,143,1,2,1,1,1,33,2245,14
1717162,142,143,1,2,1,1,1,35,2167,21
1717163,142,143,1,2,1,1,1,36,1154,21
1717164,142,143,1,2,1,1,1,37,1003,21
1717165,142,143,1,2,1,1,1,39,2330,81
1717166,142,143,1,2,1,1,1,43,1289,14
1717167,142,143,1,2,1,1,1,44,425,21
1717168,142,143,1,2,1,1,1,46,676,81
1717169,142,143,1,2,1,1,1,48,2157,71
1717170,142,143,1,2,1,1,1,53,1155,71
1717171,142,143,1,2,1,1,1,55,2135,21
1717172,142,143,1,2,1,1,1,56,2332,14
1717173,142,143,1,2,1,1,1,60,401,21
1717174,142,143,1,2,1,1,1,63,2138,21
1717175,142,143,1,2,1,1,1,64,2191,71
1717176,142,143,1,2,1,1,1,69,2336,81
1717177,142,143,1,2,1,1,1,71,2112,21
1717178,142,143,1,2,1,1,1,73,26846,81
1717179,142,143,1,2,1,1,1,75,2308,21
1717180,142,143,1,2,1,1,1,78,1180,21
1717181,142,143,1,2,1,1,1,79,2335,24
1717182,142,143,1,2,1,1,1,81,2153,21
1717183,142,143,1,2,1,1,1,87,2323,81
1717184,142,143,1,2,1,1,1,88,2304,21
1717185,142,143,1,2,1,1,1,98,2325,21
1717186,142,143,1,2,1,1,1,99,702,71
1717187,142,143,1,2,1,1,1,100,1197,21
1717188,142,143,1,2,1,1,1,101,2311,81
1717189,142,143,1,2,1,1,1,102,357,71
1717190,142,143,1,2,1,1,1,103,1311,21
1717191,142,143,1,2,1,1,1,117,2298,14
1717192,142,143,1,2,1,1,1,123,2218,21
1717193,142,143,1,2,1,1,1,128,1008,71
1717194,142,143,1,2,1,1,1,129,2300,21
1717195,142,143,1,2,1,1,1,132,2290,81
1717196,142,143,1,2,1,1,1,134,1139,71
1717197,142,143,1,2,1,1,1,135,2307,21
1717198,142,143,1,2,1,1,1,137,1251,21
1717199,142,143,1,2,1,1,1,139,2109,21
1717200,142,143,1,2,1,1,1,141,1168,21
1717201,142,143,1,2,1,1,1,142,2303,21
1717202,142,143,1,2,1,1,1,143,2162,71
1717203,142,143,1,2,1,1,1,144,2318,81
1717204,142,143,1,2,1,1,1,146,2151,21
1717205,142,143,1,2,1,1,1,148,1216,21
1717206,142,143,1,2,1,1,1,149,2113,14
1717207,142,143,1,2,1,1,1,150,1033,71
1717208,142,143,1,2,1,1,1,151,1019,21
1717209,142,143,1,2,1,1,1,152,1342,81
1717210,142,143,1,2,1,1,1,153,1187,71
1717211,142,143,1,2,1,1,1,154,1320,21
1717212,142,143,1,2,1,1,1,156,2259,21
1717213,142,143,1,2,1,1,1,157,2284,81
1717214,142,143,1,2,1,1,1,158,710,21
1717215,142,143,1,2,1,1,1,162,1144,71
1717216,142,143,1,2,1,1,1,163,798,21
1717217,142,143,1,2,1,1,1,164,2110,21
1717218,142,143,1,2,1,1,1,165,2326,81
1717219,142,143,1,2,1,1,1,888,252,21
1717220,142,143,1,2,1,1,2,5,2320,51
1717221,142,143,1,2,1,1,2,9,2338,51
1717222,142,143,1,2,1,1,2,16,2340,51
1717223,142,143,1,2,1,1,2,29,2291,51
1717224,142,143,1,2,1,1,2,34,2313,51
1717225,142,143,1,2,1,1,2,38,2152,41
1717226,142,143,1,2,1,1,2,41,2331,51
1717227,142,143,1,2,1,1,2,45,2144,51
1717228,142,143,1,2,1,1,2,50,2156,51
1717229,142,143,1,2,1,1,2,52,2216,31
1717230,142,143,1,2,1,1,2,54,2099,41
1717231,142,143,1,2,1,1,2,65,2184,51
1717232,142,143,1,2,1,1,2,72,2315,51
1717233,142,143,1,2,1,1,2,74,1310,41
1717234,142,143,1,2,1,1,2,80,4092,51
1717235,142,143,1,2,1,1,2,84,2149,41
1717236,142,143,1,2,1,1,2,97,2322,51
1717237,142,143,1,2,1,1,2,104,26958,31
1717238,142,143,1,2,1,1,2,111,2189,51
1717239,142,143,1,2,1,1,2,114,1301,41
1717240,142,143,1,2,1,1,2,116,2293,31
1717241,142,143,1,2,1,1,2,120,2141,41
1717242,142,143,1,2,1,1,2,122,2294,71
1717243,142,143,1,2,1,1,2,126,2329,51
1717244,142,143,1,2,1,1,2,133,2146,41
1717245,142,143,1,2,1,1,2,136,382,41
1717246,142,143,1,2,1,1,2,138,2312,51
1717247,142,143,1,2,1,1,2,145,4120,51
1717248,142,143,1,2,1,1,2,147,1348,41
1717249,142,143,1,2,1,1,2,155,2310,51
1717250,142,143,1,2,2,1,1,8,2158,71
1717251,142,143,1,2,2,1,1,14,2196,71
1717252,142,143,1,2,2,1,1,19,1219,71
1717253,142,143,1,2,2,1,1,27,1273,71
1717254,142,143,1,2,2,1,1,36,1154,21
1717255,142,143,1,2,2,1,1,48,2157,71
1717256,142,143,1,2,2,1,1,53,1155,71
1717257,142,143,1,2,2,1,1,64,2191,71
1717258,142,143,1,2,2,1,1,99,702,71
1717259,142,143,1,2,2,1,1,102,357,71
1717260,142,143,1,2,2,1,1,122,2294,71
1717261,142,143,1,2,2,1,1,128,1008,71
1717262,142,143,1,2,2,1,1,134,1139,71
1717263,142,143,1,2,2,1,1,143,2162,71
1717264,142,143,1,2,2,1,1,144,2318,81
1717265,142,143,1,2,2,1,1,150,1033,71
1717266,142,143,1,2,2,1,1,153,1187,71
1717267,142,143,1,2,2,1,1,162,1144,71
1717268,142,143,1,2,2,1,2,1,2098,21
1717269,142,143,1,2,2,1,2,3,2302,81
1717270,142,143,1,2,2,1,2,4,2306,21
1717271,142,143,1,2,2,1,2,5,2320,51
1717272,142,143,1,2,2,1,2,9,2338,51
1717273,142,143,1,2,2,1,2,10,141,21
1717274,142,143,1,2,2,1,2,12,4067,81
1717275,142,143,1,2,2,1,2,13,2119,21
1717276,142,143,1,2,2,1,2,15,2106,21
1717277,142,143,1,2,2,1,2,16,2340,51
1717278,142,143,1,2,2,1,2,18,2145,21
1717279,142,143,1,2,2,1,2,20,2287,14
1717280,142,143,1,2,2,1,2,29,2291,51
1717281,142,143,1,2,2,1,2,30,1330,21
1717282,142,143,1,2,2,1,2,32,2117,21
1717283,142,143,1,2,2,1,2,33,2245,14
1717284,142,143,1,2,2,1,2,34,2313,51
1717285,142,143,1,2,2,1,2,35,2167,21
1717286,142,143,1,2,2,1,2,37,1003,21
1717287,142,143,1,2,2,1,2,38,2152,41
1717288,142,143,1,2,2,1,2,39,2330,81
1717289,142,143,1,2,2,1,2,41,2331,51
1717290,142,143,1,2,2,1,2,43,1289,14
1717291,142,143,1,2,2,1,2,44,425,21
1717292,142,143,1,2,2,1,2,45,2144,51
1717293,142,143,1,2,2,1,2,46,676,81
1717294,142,143,1,2,2,1,2,50,2156,51
1717295,142,143,1,2,2,1,2,52,2216,31
1717296,142,143,1,2,2,1,2,54,2099,41
1717297,142,143,1,2,2,1,2,55,2135,21
1717298,142,143,1,2,2,1,2,56,2332,14
1717299,142,143,1,2,2,1,2,60,401,21
1717300,142,143,1,2,2,1,2,63,2138,21
1717301,142,143,1,2,2,1,2,65,2184,51
1717302,142,143,1,2,2,1,2,69,2336,81
1717303,142,143,1,2,2,1,2,71,2112,21
1717304,142,143,1,2,2,1,2,72,2315,51
1717305,142,143,1,2,2,1,2,73,26846,81
1717306,142,143,1,2,2,1,2,74,1310,41
1717307,142,143,1,2,2,1,2,75,2308,21
1717308,142,143,1,2,2,1,2,78,1180,21
1717309,142,143,1,2,2,1,2,79,2335,24
1717310,142,143,1,2,2,1,2,80,4092,51
1717311,142,143,1,2,2,1,2,81,2153,21
1717312,142,143,1,2,2,1,2,84,2149,41
1717313,142,143,1,2,2,1,2,87,2323,81
1717314,142,143,1,2,2,1,2,88,2304,21
1717315,142,143,1,2,2,1,2,97,2322,51
1717316,142,143,1,2,2,1,2,98,2325,21
1717317,142,143,1,2,2,1,2,100,1197,21
1717318,142,143,1,2,2,1,2,101,2311,81
1717319,142,143,1,2,2,1,2,103,1311,21
1717320,142,143,1,2,2,1,2,110,2129,21
1717321,142,143,1,2,2,1,2,111,2189,51
1717322,142,143,1,2,2,1,2,114,1301,41
1717323,142,143,1,2,2,1,2,116,2293,31
1717324,142,143,1,2,2,1,2,117,2298,14
1717325,142,143,1,2,2,1,2,120,2141,41
1717326,142,143,1,2,2,1,2,123,2218,21
1717327,142,143,1,2,2,1,2,126,2329,51
1717328,142,143,1,2,2,1,2,127,4123,21
1717329,142,143,1,2,2,1,2,129,2300,21
1717330,142,143,1,2,2,1,2,132,2290,81
1717331,142,143,1,2,2,1,2,133,2146,41
1717332,142,143,1,2,2,1,2,135,2307,21
1717333,142,143,1,2,2,1,2,136,382,41
1717334,142,143,1,2,2,1,2,137,1251,21
1717335,142,143,1,2,2,1,2,138,2312,51
1717336,142,143,1,2,2,1,2,139,2109,21
1717337,142,143,1,2,2,1,2,141,1168,21
1717338,142,143,1,2,2,1,2,142,2303,21
1717339,142,143,1,2,2,1,2,145,4120,51
1717340,142,143,1,2,2,1,2,146,2151,21
1717341,142,143,1,2,2,1,2,147,1348,41
1717342,142,143,1,2,2,1,2,148,1216,21
1717343,142,143,1,2,2,1,2,149,2113,14
1717344,142,143,1,2,2,1,2,151,1019,21
1717345,142,143,1,2,2,1,2,152,1342,81
1717346,142,143,1,2,2,1,2,154,1320,21
1717347,142,143,1,2,2,1,2,155,2310,51
1717348,142,143,1,2,2,1,2,156,2259,21
1717349,142,143,1,2,2,1,2,157,2284,81
1717350,142,143,1,2,2,1,2,158,710,21
1717351,142,143,1,2,2,1,2,163,798,21
1717352,142,143,1,2,2,1,2,164,2110,21
1717353,142,143,1,2,2,1,2,165,2326,81
1717354,142,143,1,2,2,1,2,888,252,21
1717355,142,143,1,2,2,2,1,3,2302,81
1717356,142,143,1,2,2,2,1,12,4067,81
1717357,142,143,1,2,2,2,1,17,26519,81
1717358,142,143,1,2,2,2,1,39,2330,81
1717359,142,143,1,2,2,2,1,46,676,81
1717360,142,143,1,2,2,2,1,69,2336,81
1717361,142,143,1,2,2,2,1,73,26846,81
1717362,142,143,1,2,2,2,1,87,2323,81
1717363,142,143,1,2,2,2,1,101,2311,81
1717364,142,143,1,2,2,2,1,132,2290,81
1717365,142,143,1,2,2,2,1,134,1139,71
1717366,142,143,1,2,2,2,1,144,2318,81
1717367,142,143,1,2,2,2,1,152,1342,81
1717368,142,143,1,2,2,2,1,157,2284,81
1717369,142,143,1,2,2,2,1,165,2326,81
1717370,142,143,1,2,2,2,2,1,2098,21
1717371,142,143,1,2,2,2,2,4,2306,21
1717372,142,143,1,2,2,2,2,5,2320,51
1717373,142,143,1,2,2,2,2,8,2158,71
1717374,142,143,1,2,2,2,2,9,2338,51
1717375,142,143,1,2,2,2,2,10,141,21
1717376,142,143,1,2,2,2,2,13,2119,21
1717377,142,143,1,2,2,2,2,14,2196,71
1717378,142,143,1,2,2,2,2,15,2106,21
1717379,142,143,1,2,2,2,2,16,2340,51
1717380,142,143,1,2,2,2,2,18,2145,21
1717381,142,143,1,2,2,2,2,19,1219,71
1717382,142,143,1,2,2,2,2,20,2287,14
1717383,142,143,1,2,2,2,2,27,1273,71
1717384,142,143,1,2,2,2,2,29,2291,51
1717385,142,143,1,2,2,2,2,30,1330,21
1717386,142,143,1,2,2,2,2,32,2117,21
1717387,142,143,1,2,2,2,2,33,2245,14
1717388,142,143,1,2,2,2,2,34,2313,51
1717389,142,143,1,2,2,2,2,35,2167,21
1717390,142,143,1,2,2,2,2,36,1154,21
1717391,142,143,1,2,2,2,2,37,1003,21
1717392,142,143,1,2,2,2,2,38,2152,41
1717393,142,143,1,2,2,2,2,41,2331,51
1717394,142,143,1,2,2,2,2,43,1289,14
1717395,142,143,1,2,2,2,2,44,425,21
1717396,142,143,1,2,2,2,2,45,2144,51
1717397,142,143,1,2,2,2,2,48,2157,71
1717398,142,143,1,2,2,2,2,50,2156,51
1717399,142,143,1,2,2,2,2,52,2216,31
1717400,142,143,1,2,2,2,2,53,1155,71
1717401,142,143,1,2,2,2,2,54,2099,41
1717402,142,143,1,2,2,2,2,55,2135,21
1717403,142,143,1,2,2,2,2,56,2332,14
1717404,142,143,1,2,2,2,2,60,401,21
1717405,142,143,1,2,2,2,2,63,2138,21
1717406,142,143,1,2,2,2,2,64,2191,71
1717407,142,143,1,2,2,2,2,65,2184,51
1717408,142,143,1,2,2,2,2,71,2112,21
1717409,142,143,1,2,2,2,2,72,2315,51
1717410,142,143,1,2,2,2,2,74,1310,41
1717411,142,143,1,2,2,2,2,75,2308,21
1717412,142,143,1,2,2,2,2,78,1180,21
1717413,142,143,1,2,2,2,2,79,2335,24
1717414,142,143,1,2,2,2,2,80,4092,51
1717415,142,143,1,2,2,2,2,81,2153,21
1717416,142,143,1,2,2,2,2,84,2149,41
1717417,142,143,1,2,2,2,2,88,2304,21
1717418,142,143,1,2,2,2,2,97,2322,51
1717419,142,143,1,2,2,2,2,98,2325,21
1717420,142,143,1,2,2,2,2,99,702,71
1717421,142,143,1,2,2,2,2,100,1197,21
1717422,142,143,1,2,2,2,2,102,357,71
1717423,142,143,1,2,2,2,2,103,1311,21
1717424,142,143,1,2,2,2,2,104,26958,31
1717425,142,143,1,2,2,2,2,110,2129,21
1717426,142,143,1,2,2,2,2,111,2189,51
1717427,142,143,1,2,2,2,2,114,1301,41
1717428,142,143,1,2,2,2,2,116,2293,31
1717429,142,143,1,2,2,2,2,117,2298,14
1717430,142,143,1,2,2,2,2,120,2141,41
1717431,142,143,1,2,2,2,2,122,2294,71
1717432,142,143,1,2,2,2,2,123,2218,21
1717433,142,143,1,2,2,2,2,126,2329,51
1717434,142,143,1,2,2,2,2,127,4123,21
1717435,142,143,1,2,2,2,2,128,1008,71
1717436,142,143,1,2,2,2,2,129,2300,21
1717437,142,143,1,2,2,2,2,133,2146,41
1717438,142,143,1,2,2,2,2,135,2307,21
