2009-10-07,206, 2,2,Vo t e r i n g :Komiteens innstilling ble enstemmig bifalt.
2009-10-21,3030, 6,2,Vo t e r i n g :Komiteens innstilling ble enstemmig vedtatt.
2009-10-22,2125, 7,1,Vo t e r i n g :Komiteens innstilling ble enstemmig bifalt.
2009-10-22,2179, 7,2,Vo t e r i n g :Komiteens innstilling ble enstemmig bifalt.
2009-10-22,2215, 7,3,Vo t e r i n g :Komiteens innstilling ble enstemmig bifalt.
2009-10-22,2234, 7,4,Vo t e r i n g :Komiteens innstilling ble enstemmig bifalt.
2009-10-22,2253, 7,5,Vo t e r i n g :Komiteens innstilling ble enstemmig bifalt.
2009-10-22,2275, 7,6,Vo t e r i n g :Komiteens innstilling ble enstemmig bifalt.
2009-10-22,2298, 7,7,Vo t e r i n g :Komiteens innstilling ble enstemmig bifalt.
2009-10-22,2315, 7,8,Vo t e r i n g :Komiteens innstilling ble enstemmig bifalt.
2009-10-22,2341, 7,9,Vo t e r i n g :Komiteens innstilling ble enstemmig bifalt.
2009-11-05,993, 10,1,Vo t e r i n g :Komiteens innstilling ble enstemmig bifalt.
2009-11-10,748, 12,1,Vo t e r i n g :Komiteens innstilling ble enstemmig bifalt.
2009-11-10,763, 12,2,Vo t e r i n g :Komiteens innstilling ble enstemmig bifalt.
2009-11-17,3543, 15,1,Vo t e r i n g :Presidentskapets innstilling ble enstemmig bifalt.
2009-11-17,3555, 15,3,Vo t e r i n g :Komiteens innstilling ble enstemmig bifalt.
2009-11-17,3582, 15,5,Vo t e r i n g :Komiteens innstilling ble enstemmig bifalt.
2009-11-17,3632, 15,6,Vo t e r i n g :Komiteens innstilling ble enstemmig bifalt.
2009-11-17,3655, 15,7,Vo t e r i n gKomiteens innstilling ble enstemmig bifalt.
2009-11-17,3660, 15,7,Lovens overskrift og loven i sin helhet ble enstemmigbifalt.
2009-11-19,3098, 17,3,Vo t e r i n g :Komiteens innstilling ble enstemmig bifalt.
2009-11-19,3105, 17,4,Vo t e r i n g :Komiteens innstilling ble enstemmig bifalt.
2009-11-19,3115, 17,5,Vo t e r i n g :Komiteens innstilling ble enstemmig bifalt.
2009-11-19,3122, 17,6,Vo t e r i n g :Komiteens innstilling ble enstemmig bifalt.
2009-11-26,13136, 19,2,Vo t e r i n g :Komiteens innstilling ble enstemmig bifalt.
2009-11-26,16917, 19,4,Så voteres det over alle paragrafer i skatteloven somantas å bli enstemmig vedtatt.
2009-11-26,18267, 19,4,Vo t e r i n g :Komiteens innstilling ble enstemmig bifalt.
2009-11-26,18447, 19,4,Vo t e r i n g :Komiteens innstilling ble enstemmig bifalt.
2009-11-26,18563, 19,4,Vo t e r i n g :Komiteens innstilling ble enstemmig bifalt.
2009-11-26,18678, 19,4,Vo t e r i n g :Komiteens innstilling ble enstemmig bifalt.
2009-11-26,18744, 19,4,Vo t e r i n g :Komiteens innstilling ble enstemmig bifalt.
2009-11-26,18833, 19,4,Vo t e r i n g :Komiteens innstilling ble enstemmig bifalt.
2009-11-26,18838, 19,4,Lovens overskrift og loven i sin helhet ble enstemmigbifalt.
2009-11-27,2120, 20,1,Vo t e r i n g :Komiteens innstilling ble enstemmig bifalt.
2009-11-27,2175, 20,2,Vo t e r i n g :Komiteens innstilling ble enstemmig bifalt.
2009-11-27,2180, 20,2,Lovens overskrift og loven i sin helhet ble enstemmigbifalt.
2009-11-27,2216, 20,3,Vo t e r i n g :Komiteens innstilling ble enstemmig bifalt.
2009-12-03,5781, 23,2,Vo t e r i n g :Komiteens innstilling ble enstemmig bifalt.
2009-12-03,5878, 23,3,Vo t e r i n g :Komiteens innstilling ble enstemmig bifalt.
2009-12-03,6628, 23,5,Vo t e r i n g :Komiteens innstilling ble enstemmig bifalt.
2009-12-03,6793, 23,6,Vo t e r i n g :Komiteens innstilling ble enstemmig bifalt.
2009-12-03,6814, 23,7,Vo t e r i n g :Komiteens innstilling ble enstemmig bifalt.
2009-12-03,6989, 23,8,Vo t e r i n g :Komiteens innstilling ble enstemmig bifalt.
2009-12-03,6994, 23,8,Lovens overskrift og loven i sin helhet ble enstemmigbifalt.
2009-12-03,7038, 23,9,Vo t e r i n g :Komiteens innstilling ble enstemmig bifalt.
2009-12-03,7085, 23,10,Vo t e r i n g :Komiteens innstilling ble enstemmig bifalt.
2009-12-03,7154, 23,11,Komiteens innstilling – med de refererte endringer –ble enstemmig bifalt.
2009-12-03,7159, 23,11,Lovens overskrift og loven i sin helhet ble enstemmigbifalt.
2009-12-04,4311, 24,1,Vo t e r i n g :Komiteens innstilling ble enstemmig bifalt.
2009-12-04,4325, 24,3,Vo t e r i n g :Komiteens innstilling ble enstemmig bifalt.
2009-12-07,6500, 25,1,Vo t e r i n g :Komiteens innstilling ble enstemmig bifalt.
2009-12-07,7047, 25,1,Vo t e r i n g :Komiteens innstilling ble enstemmig bifalt.
2009-12-07,7224, 25,2,Vo t e r i n g :Komiteens innstilling ble enstemmig bifalt.
2009-12-07,7296, 25,3,Vo t e r i n g :Komiteens innstilling ble enstemmig bifalt.
2009-12-07,7304, 25,4,Vo t e r i n g :Komiteens innstilling ble enstemmig bifalt.
2009-12-07,7311, 25,5,Vo t e r i n g :Komiteens innstilling ble enstemmig bifalt.
2009-12-07,7319, 25,6,Vo t e r i n g :Komiteens innstilling ble enstemmig bifalt.
2009-12-07,7326, 25,7,Vo t e r i n g :Komiteens innstilling ble enstemmig bifalt.
2009-12-08,9321, 26,1,Vo t e r i n g :Komiteens innstilling ble enstemmig bifalt.
