last_name,first_name,years_lived,position_type,position_department,position_years,source,Column 8
Andersen,Dag Terje,1957-,også fung str,FKD,2006-2007,"Andersen, Dag Terje (1957-) pers rådg UD 1992, pol rådg UD 1992, stsekr SOS 1992, str LD 1996-1997, str NHD 2006-2008, også fung str FKD 2006-2007, str AID 2008-2009",
Andersen,Dag Terje,1957-,str,AID,2008-2009,"Andersen, Dag Terje (1957-) pers rådg UD 1992, pol rådg UD 1992, stsekr SOS 1992, str LD 1996-1997, str NHD 2006-2008, også fung str FKD 2006-2007, str AID 2008-2009",
Andersen,Finn Johan,1934-1993,pers rådg,KUF,1984-1985,"Andersen, Finn Johan (1934-1993) pers rådg KUF 1984-1985",
Andersen,Magnus Kristoffer,1916-1994,str,FID,1963-1965,"Andersen, Magnus Kristoffer (1916-1994) str FID 1963-1965, str FID 1972",
Andersen,Magnus Kristoffer,1916-1994,str,FID,1972,"Andersen, Magnus Kristoffer (1916-1994) str FID 1963-1965, str FID 1972",
Andersen,Per Alf,1948-,stsekr,FID,1990-1992,"Andersen, Per Alf (1948-) stsekr FID 1990-1992",
Andersen,Tor,1954-,pers sekr,IND,1981-1986,"Andersen, Tor (1954-) pers sekr IND 1981-1986",
Andersland,Geir Kjell,1948-,stsekr,SOS,1989-1990,"Andersland, Geir Kjell (1948-) stsekr SOS 1989-1990",
Anderssen-Rysst,Torgeir,1888-1958,str,FD,1928-1931,"Anderssen-Rysst, Torgeir (1888-1958) str FD 1928-1931",
Andreassen,Harriet,1925-1997,str,KAD,1980-1981,"Andreassen, Harriet (1925-1997) str KAD 1980-1981, str KAD 1981",
Andreassen,Harriet,1925-1997,str,KAD,1981,"Andreassen, Harriet (1925-1997) str KAD 1980-1981, str KAD 1981",
Andreassen,Jorhill,1948-,pol rådg,FID,2001-2004,"Andreassen, Jorhill (1948-) pol rådg FID 2001-2004, pol rådg FKD 2004-2005",
Andreassen,Jorhill,1948-,pol rådg,FKD,2004-2005,"Andreassen, Jorhill (1948-) pol rådg FID 2001-2004, pol rådg FKD 2004-2005",
Andreassen,Marianne van den Houten,1961-,pers sekr,UD (hs),1992,"Andreassen, Marianne van den Houten (1961-) pers sekr UD (hs) 1992, pol rådg UD (hs) 1992-1993, stsekr UD (hs) 1993-1994, stsekr FIN 1994-1996, stsekr FIN 1996-1997",
Andreassen,Marianne van den Houten,1961-,pol rådg,UD (hs),1992-1993,"Andreassen, Marianne van den Houten (1961-) pers sekr UD (hs) 1992, pol rådg UD (hs) 1992-1993, stsekr UD (hs) 1993-1994, stsekr FIN 1994-1996, stsekr FIN 1996-1997",
Andreassen,Marianne van den Houten,1961-,stsekr,UD (hs),1993-1994,"Andreassen, Marianne van den Houten (1961-) pers sekr UD (hs) 1992, pol rådg UD (hs) 1992-1993, stsekr UD (hs) 1993-1994, stsekr FIN 1994-1996, stsekr FIN 1996-1997",
Andreassen,Marianne van den Houten,1961-,stsekr,FIN,1994-1996,"Andreassen, Marianne van den Houten (1961-) pers sekr UD (hs) 1992, pol rådg UD (hs) 1992-1993, stsekr UD (hs) 1993-1994, stsekr FIN 1994-1996, stsekr FIN 1996-1997",
Andreassen,Marianne van den Houten,1961-,stsekr,FIN,1996-1997,"Andreassen, Marianne van den Houten (1961-) pers sekr UD (hs) 1992, pol rådg UD (hs) 1992-1993, stsekr UD (hs) 1993-1994, stsekr FIN 1994-1996, stsekr FIN 1996-1997",
Angell,Elisabeth,1964-,pol rådg,BFD,1997-2000,"Angell, Elisabeth (1964-) pol rådg BFD 1997-2000",
Angelsen,Peter,1935-,str,FID,1997-2000,"Angelsen, Peter (1935-) str FID 1997-2000, også nord samarbm 1999-2000",
Angelsen,Peter,1935-,også nord samarbm,,1999,"Angelsen, Peter (1935-) str FID 1997-2000, også nord samarbm 1999-2000",
Anker,Carsten Tank,1747-1824,rr 5.,Dep,1814,"Anker, Carsten Tank (1747-1824) rr 5. Dep 1814, str 1814-1815",
Anker,Carsten Tank,1747-1824,str,,1814,"Anker, Carsten Tank (1747-1824) rr 5. Dep 1814, str 1814-1815",
Anker,Peder,1749-1824,stm,,1814,"Anker, Peder (1749-1824) stm 1814-22",
Anmarkrud,Åshild,1939-,stsekr,JD,1997-1999,"Anmarkrud, Åshild (1939-) stsekr JD 1997-1999",
Antonsen,Hans Tormod,1965-,pol rådg,NHD,1997-1999,"Antonsen, Hans Tormod (1965-) pol rådg NHD 1997-1999, stsekr NHD 1999-2000",
Antonsen,Hans Tormod,1965-,stsekr,NHD,1999-2000,"Antonsen, Hans Tormod (1965-) pol rådg NHD 1997-1999, stsekr NHD 1999-2000",
Anundsen,Anders,1975-,str,JD,2013-,"Anundsen, Anders (1975-)str JD 2013-",
Arctander,Sofus Anton Birger,1845-1924,str,ID,1884-1885,"Arctander, Sofus Anton Birger (1845-1924) str ID 1884-1885, str S 1885-1886, str ID 1886-1888, str HD 1905-1907, også kst stm 1905, str HD 1907-1908, str HD 1910",
Arctander,Sofus Anton Birger,1845-1924,str,S,1885-1886,"Arctander, Sofus Anton Birger (1845-1924) str ID 1884-1885, str S 1885-1886, str ID 1886-1888, str HD 1905-1907, også kst stm 1905, str HD 1907-1908, str HD 1910",
Arctander,Sofus Anton Birger,1845-1924,str,ID,1886-1888,"Arctander, Sofus Anton Birger (1845-1924) str ID 1884-1885, str S 1885-1886, str ID 1886-1888, str HD 1905-1907, også kst stm 1905, str HD 1907-1908, str HD 1910",
Arctander,Sofus Anton Birger,1845-1924,str,HD,1905-1907,"Arctander, Sofus Anton Birger (1845-1924) str ID 1884-1885, str S 1885-1886, str ID 1886-1888, str HD 1905-1907, også kst stm 1905, str HD 1907-1908, str HD 1910",
Arctander,Sofus Anton Birger,1845-1924,også kst stm,,1905,"Arctander, Sofus Anton Birger (1845-1924) str ID 1884-1885, str S 1885-1886, str ID 1886-1888, str HD 1905-1907, også kst stm 1905, str HD 1907-1908, str HD 1910",
Arctander,Sofus Anton Birger,1845-1924,str,HD,1907-1908,"Arctander, Sofus Anton Birger (1845-1924) str ID 1884-1885, str S 1885-1886, str ID 1886-1888, str HD 1905-1907, også kst stm 1905, str HD 1907-1908, str HD 1910",
Arctander,Sofus Anton Birger,1845-1924,str,HD,1910,"Arctander, Sofus Anton Birger (1845-1924) str ID 1884-1885, str S 1885-1886, str ID 1886-1888, str HD 1905-1907, også kst stm 1905, str HD 1907-1908, str HD 1910",
Arneberg,Ulrik Frederik Christian,1829-1911,str,S,1889-1890,"Arneberg, Ulrik Frederik Christian (1829-1911) str S 1889-1890, str JD 1890-1891",
Arneberg,Ulrik Frederik Christian,1829-1911,str,JD,1890-1891,"Arneberg, Ulrik Frederik Christian (1829-1911) str S 1889-1890, str JD 1890-1891",
Arnesen,Arne,1928-2010,pers sekr,UD,1971-1972,"Arnesen, Arne (1928-2010) pers sekr UD 1971-1972, stsekr UD 1973-1975, stsekr DUH 1987-1989",
Arnesen,Arne,1928-2010,stsekr,UD,1973-1975,"Arnesen, Arne (1928-2010) pers sekr UD 1971-1972, stsekr UD 1973-1975, stsekr DUH 1987-1989",
Arnesen,Arne,1928-2010,stsekr,DUH,1987-1989,"Arnesen, Arne (1928-2010) pers sekr UD 1971-1972, stsekr UD 1973-1975, stsekr DUH 1987-1989",
Arnstad,Marit,1962-,pers sekr,MD,1989-1990,"Arnstad, Marit (1962-) pers sekr MD 1989-1990, str OED 1997-2000, str SD 2012-2013",
Arnstad,Marit,1962-,str,OED,1997-2000,"Arnstad, Marit (1962-) pers sekr MD 1989-1990, str OED 1997-2000, str SD 2012-2013",
Arnstad,Marit,1962-,str,SD,2012-2013,"Arnstad, Marit (1962-) pers sekr MD 1989-1990, str OED 1997-2000, str SD 2012-2013",
Arnstad,Per Magnar,1937-,stsekr,SD,1972-1973,"Arnstad, Per Magnar (1937-) stsekr SD 1972-1973",
Arntsen,Oluf,1941-,stsekr,KAD,1973-1973,"Arntsen, Oluf (1941-) stsekr KAD 1973-1973, stsekr SMK 1973",
Arntsen,Oluf,1941-,stsekr,SMK,1973,"Arntsen, Oluf (1941-) stsekr KAD 1973-1973, stsekr SMK 1973",
Arntzen,Andreas,1777-1837,str,KUD,1836-1837,"Arntzen, Andreas (1777-1837) str KUD 1836-1837, str JD 1837",
Arntzen,Andreas,1777-1837,str,JD,1837,"Arntzen, Andreas (1777-1837) str KUD 1836-1837, str JD 1837",
Arntzen,Karelius August,1802-1875,tilf str int,,1861,"Arntzen, Karelius August (1802-1875) tilf str int 1861",
Arnøy,Siri Hall,1978-,pol rådg,FIN,2005-2006,"Arnøy, Siri Hall (1978-) pol rådg FIN 2005-2006",
Arup,Jens Lauritz,1793-1874,tilf str int,,1852,"Arup, Jens Lauritz (1793-1874) tilf str int 1852, tilf str int 1852-53, tilf str int 1857, tilf str int 1861",
Arup,Jens Lauritz,1793-1874,tilf str int,,1852,"Arup, Jens Lauritz (1793-1874) tilf str int 1852, tilf str int 1852-53, tilf str int 1857, tilf str int 1861",
Arup,Jens Lauritz,1793-1874,tilf str int,,1857,"Arup, Jens Lauritz (1793-1874) tilf str int 1852, tilf str int 1852-53, tilf str int 1857, tilf str int 1861",
Arup,Jens Lauritz,1793-1874,tilf str int,,1861,"Arup, Jens Lauritz (1793-1874) tilf str int 1852, tilf str int 1852-53, tilf str int 1857, tilf str int 1861",
Asbjørnsen,Erik Gunnar,1919-2011,kst strsekr,,1966,"Asbjørnsen, Erik Gunnar (1919-2011) kst strsekr 1966",
Aspaker,Elisabeth Ragnhild,1962-,pers sekr,JD,1989-1990,"Aspaker, Elisabeth Ragnhild (1962-) pers sekr JD 1989-1990, pol rådg KUD 2001, pol rådg UFD 2002-2004, stsekr HD 2004, stsekr HOD 2004-2005, str FKD 2013, str NFD (fi) 2014-",
Aspaker,Elisabeth Ragnhild,1962-,pol rådg,KUD,2001,"Aspaker, Elisabeth Ragnhild (1962-) pers sekr JD 1989-1990, pol rådg KUD 2001, pol rådg UFD 2002-2004, stsekr HD 2004, stsekr HOD 2004-2005, str FKD 2013, str NFD (fi) 2014-",
