last_name,first_name,years_lived,position_type,position_department,position_years,source,Column 8
Gelius,Einar,1959-,stsekr,KRD,2000-2001,"Gelius, Einar (1959-) stsekr KRD 2000-2001",
Georgsen,Kaj-Martin,1973-,pol rådg,FIN,2001-2005,"Georgsen, Kaj-Martin (1973-) pol rådg FIN 2001-2005",
Gerhardsen,Einar Henry,1897-1987,stm,,1945,"Gerhardsen, Einar Henry (1897-1987) stm 1945, stm 1945-1951, stm 1955-1963, stm 1963-1965",
Gerhardsen,Einar Henry,1897-1987,stm,,1945,"Gerhardsen, Einar Henry (1897-1987) stm 1945, stm 1945-1951, stm 1955-1963, stm 1963-1965",
Gerhardsen,Einar Henry,1897-1987,stm,,1955,"Gerhardsen, Einar Henry (1897-1987) stm 1945, stm 1945-1951, stm 1955-1963, stm 1963-1965",
Gerhardsen,Einar Henry,1897-1987,stm,,1963,"Gerhardsen, Einar Henry (1897-1987) stm 1945, stm 1945-1951, stm 1955-1963, stm 1963-1965",
Gerhardsen,Mina,1975-,pol rådg,SMK,2005-2009,"Gerhardsen, Mina (1975-) pol rådg SMK 2005-2009, stsekr SMK 2009-2012,stsekr KUD 2012, stsekr KUD 2012-2013",
Gerhardsen,Mina,1975-,stsekr,SMK,2009-2012,"Gerhardsen, Mina (1975-) pol rådg SMK 2005-2009, stsekr SMK 2009-2012,stsekr KUD 2012, stsekr KUD 2012-2013",
Gerhardsen,Mina,1975-,stsekr,KUD,2012,"Gerhardsen, Mina (1975-) pol rådg SMK 2005-2009, stsekr SMK 2009-2012,stsekr KUD 2012, stsekr KUD 2012-2013",
Gerhardsen,Mina,1975-,stsekr,KUD,2012-2013,"Gerhardsen, Mina (1975-) pol rådg SMK 2005-2009, stsekr SMK 2009-2012,stsekr KUD 2012, stsekr KUD 2012-2013",
error,,,,,,"Gerhardsen, Tove Astri Strand - senere Strand, Tove Astri (1946-) pers sekr HSD 1976-1977, pers sekr FIN 1979-1981, stsekr FIN 1981, str SOS 1986-1989, str AAD 1990-1992",
Geving,Ole Morten,1974-,stsekr,FIN,2007-2009,"Geving, Ole Morten (1974-)stsekr FIN 2007-2009, stsekr FIN 2009-2010",
Geving,Ole Morten,1974-,stsekr,FIN,2009-2010,"Geving, Ole Morten (1974-)stsekr FIN 2007-2009, stsekr FIN 2009-2010",
Ghanizadeh,Ahmad,1961-,stsekr,BLD,2012-2013,"Ghanizadeh, Ahmad (1961-)stsekr BLD 2012-2013",
error,,,,,,"Gierløff, Fredrik Wang (1984-)pol rådg HOD 2013-",
Giil,Håkon,1943-,stsekr,OED,1997-2000,"Giil, Håkon (1943-) stsekr OED 1997-2000",
Giske,Elias,1927-,pers sekr,FID,1973,"Giske, Elias (1927-) pers sekr FID 1973",
Giske,Trond,1966-,str,KUF,2000-2001,"Giske, Trond (1966-) str KUF 2000-2001, str KKD 2005-2009, også str BLD 2008,også str JD 2009, str NHD 2009-2013",
Giske,Trond,1966-,str,KKD,2005-2009,"Giske, Trond (1966-) str KUF 2000-2001, str KKD 2005-2009, også str BLD 2008,også str JD 2009, str NHD 2009-2013",
Giske,Trond,1966-,også str,BLD,2008,"Giske, Trond (1966-) str KUF 2000-2001, str KKD 2005-2009, også str BLD 2008,også str JD 2009, str NHD 2009-2013",
Giske,Trond,1966-,også str,JD,2009,"Giske, Trond (1966-) str KUF 2000-2001, str KKD 2005-2009, også str BLD 2008,også str JD 2009, str NHD 2009-2013",
Giske,Trond,1966-,str,NHD,2009-2013,"Giske, Trond (1966-) str KUF 2000-2001, str KKD 2005-2009, også str BLD 2008,også str JD 2009, str NHD 2009-2013",
Gisvoll,Kåre,1930-,stsekr,HSD,1972-1973,"Gisvoll, Kåre (1930-) stsekr HSD 1972-1973",
Gitmark,Helga,1929-2008,str,MD,1973,"Gitmark, Helga (1929-2008) str MD 1973",
Gjengedal,Hildegunn,1968-,vik pol rådg,LMD,2009,"Gjengedal, Hildegunn (1968-)vik pol rådg LMD 2009",
Gjerde,Bjartmar Alv,1931-2009,str,KUD,1971-1972,"Gjerde, Bjartmar Alv (1931-2009) str KUD 1971-1972, str KUD 1973-1976, også nord samarbm 1973-1976, str IND 1976-1978, str OED 1978-1980, også nord samarbm 1976-1980",
Gjerde,Bjartmar Alv,1931-2009,str,KUD,1973-1976,"Gjerde, Bjartmar Alv (1931-2009) str KUD 1971-1972, str KUD 1973-1976, også nord samarbm 1973-1976, str IND 1976-1978, str OED 1978-1980, også nord samarbm 1976-1980",
Gjerde,Bjartmar Alv,1931-2009,også nord samarbm,,1973,"Gjerde, Bjartmar Alv (1931-2009) str KUD 1971-1972, str KUD 1973-1976, også nord samarbm 1973-1976, str IND 1976-1978, str OED 1978-1980, også nord samarbm 1976-1980",
Gjerde,Bjartmar Alv,1931-2009,str,IND,1976-1978,"Gjerde, Bjartmar Alv (1931-2009) str KUD 1971-1972, str KUD 1973-1976, også nord samarbm 1973-1976, str IND 1976-1978, str OED 1978-1980, også nord samarbm 1976-1980",
Gjerde,Bjartmar Alv,1931-2009,str,OED,1978-1980,"Gjerde, Bjartmar Alv (1931-2009) str KUD 1971-1972, str KUD 1973-1976, også nord samarbm 1973-1976, str IND 1976-1978, str OED 1978-1980, også nord samarbm 1976-1980",
Gjerde,Bjartmar Alv,1931-2009,også nord samarbm,,1976,"Gjerde, Bjartmar Alv (1931-2009) str KUD 1971-1972, str KUD 1973-1976, også nord samarbm 1973-1976, str IND 1976-1978, str OED 1978-1980, også nord samarbm 1976-1980",
Gjerde,Herlof,1936-,stsekr,FID,1972,"Gjerde, Herlof (1936-) stsekr FID 1972",
Gjerløw,Berit Øksnes,1959-,stsekr,KD og KUF (ki),2001,"Gjerløw, Berit Øksnes (1959-) stsekr KD og KUF (ki) 2001, stsekr KKD 2002-2005",
Gjerløw,Berit Øksnes,1959-,stsekr,KKD,2002-2005,"Gjerløw, Berit Øksnes (1959-) stsekr KD og KUF (ki) 2001, stsekr KKD 2002-2005",
Gjertsen,Astrid,1928-,str,FAD,1981-1986,"Gjertsen, Astrid (1928-) str FAD 1981-1986",
Gjesdal,Tor,1909-1973,presseråd,,1940,"Gjesdal, Tor (1909-1973) presseråd 1940-1945",
Gjesteby,Kari,1947-,pers sekr,FAD,1974-1976,"Gjesteby, Kari (1947-) pers sekr FAD 1974-1976, stsekr KUD 1976-1978, stsekr FIN 1979-1981, str HSD 1981, stsekr UD 1986-1988, str JD 1990-1992",
Gjesteby,Kari,1947-,stsekr,KUD,1976-1978,"Gjesteby, Kari (1947-) pers sekr FAD 1974-1976, stsekr KUD 1976-1978, stsekr FIN 1979-1981, str HSD 1981, stsekr UD 1986-1988, str JD 1990-1992",
Gjesteby,Kari,1947-,stsekr,FIN,1979-1981,"Gjesteby, Kari (1947-) pers sekr FAD 1974-1976, stsekr KUD 1976-1978, stsekr FIN 1979-1981, str HSD 1981, stsekr UD 1986-1988, str JD 1990-1992",
Gjesteby,Kari,1947-,str,HSD,1981,"Gjesteby, Kari (1947-) pers sekr FAD 1974-1976, stsekr KUD 1976-1978, stsekr FIN 1979-1981, str HSD 1981, stsekr UD 1986-1988, str JD 1990-1992",
Gjesteby,Kari,1947-,stsekr,UD,1986-1988,"Gjesteby, Kari (1947-) pers sekr FAD 1974-1976, stsekr KUD 1976-1978, stsekr FIN 1979-1981, str HSD 1981, stsekr UD 1986-1988, str JD 1990-1992",
Gjesteby,Kari,1947-,str,JD,1990-1992,"Gjesteby, Kari (1947-) pers sekr FAD 1974-1976, stsekr KUD 1976-1978, stsekr FIN 1979-1981, str HSD 1981, stsekr UD 1986-1988, str JD 1990-1992",
Gjærevoll,Olav,1916-1994,str,SOS,1963,"Gjærevoll, Olav (1916-1994) str SOS 1963, str SOS 1963-1965, str LPD 1971-1972, str MD 1972",
Gjærevoll,Olav,1916-1994,str,SOS,1963-1965,"Gjærevoll, Olav (1916-1994) str SOS 1963, str SOS 1963-1965, str LPD 1971-1972, str MD 1972",
Gjærevoll,Olav,1916-1994,str,LPD,1971-1972,"Gjærevoll, Olav (1916-1994) str SOS 1963, str SOS 1963-1965, str LPD 1971-1972, str MD 1972",
Gjærevoll,Olav,1916-1994,str,MD,1972,"Gjærevoll, Olav (1916-1994) str SOS 1963, str SOS 1963-1965, str LPD 1971-1972, str MD 1972",
Gjønnes,Jon Kjell,1931-,pers rådg,KAD,1979-1981,"Gjønnes, Jon Kjell (1931-) pers rådg KAD 1979-1981, pers rådg KAD 1981",
Gjønnes,Jon Kjell,1931-,pers rådg,KAD,1981,"Gjønnes, Jon Kjell (1931-) pers rådg KAD 1979-1981, pers rådg KAD 1981",
Gjønnes,Kåre,1942-,str,LD,1997-2000,"Gjønnes, Kåre (1942-) str LD 1997-2000, også nord samarbm 2000",
Gjønnes,Kåre,1942-,også nord samarbm,,2000,"Gjønnes, Kåre (1942-) str LD 1997-2000, også nord samarbm 2000",
Glad,Christian,1794-1866,tilf str int,,1861,"Glad, Christian (1794-1866) tilf str int 1861",
Glomstein,Ivar,1946-,pers sekr,FD,1981-1985,"Glomstein, Ivar (1946-) pers sekr FD 1981-1985",
Godal,Bjørn Tore,1945-,str,UD (hs),1991-1994,"Godal, Bjørn Tore (1945-) str UD (hs) 1991-1994, også fung um 1993-1994, um 1994-1996, um 1996-1997, str FD 2000-2001",
Godal,Bjørn Tore,1945-,også fung um,,1993,"Godal, Bjørn Tore (1945-) str UD (hs) 1991-1994, også fung um 1993-1994, um 1994-1996, um 1996-1997, str FD 2000-2001",
Godal,Bjørn Tore,1945-,um,,1994,"Godal, Bjørn Tore (1945-) str UD (hs) 1991-1994, også fung um 1993-1994, um 1994-1996, um 1996-1997, str FD 2000-2001",
Godal,Bjørn Tore,1945-,um,,1996,"Godal, Bjørn Tore (1945-) str UD (hs) 1991-1994, også fung um 1993-1994, um 1994-1996, um 1996-1997, str FD 2000-2001",
Godal,Bjørn Tore,1945-,str,FD,2000-2001,"Godal, Bjørn Tore (1945-) str UD (hs) 1991-1994, også fung um 1993-1994, um 1994-1996, um 1996-1997, str FD 2000-2001",
Godal,Ingvald Åsmund,1934-,stsekr,MD,1972-1973,"Godal, Ingvald Åsmund (1934-) stsekr MD 1972-1973, stsekr MD 1973",
Godal,Ingvald Åsmund,1934-,stsekr,MD,1973,"Godal, Ingvald Åsmund (1934-) stsekr MD 1972-1973, stsekr MD 1973",
Graham,Sylvi,1951-,stsekr,UD (u),2004-2005,"Graham, Sylvi (1951-) stsekr UD (u) 2004-2005",
Gram,Bjørn Arild,1972-,stsekr,FIN,2005-2007,"Gram, Bjørn Arild (1972-) stsekr FIN 2005-2007",
Gram,Gregers Winther Wulfsberg,1846-1929,stm,S,1889-1891,"Gram, Gregers Winther Wulfsberg (1846-1929) stm S 1889-1891, stm S 1893-1895, stm S 1895-1898",
Gram,Gregers Winther Wulfsberg,1846-1929,stm,S,1893-1895,"Gram, Gregers Winther Wulfsberg (1846-1929) stm S 1889-1891, stm S 1893-1895, stm S 1895-1898",
Gram,Gregers Winther Wulfsberg,1846-1929,stm,S,1895-1898,"Gram, Gregers Winther Wulfsberg (1846-1929) stm S 1889-1891, stm S 1893-1895, stm S 1895-1898",
Gramnæs,Katrine,1974-,pol rådg,KD (b og gr oppl),2012,"Gramnæs, Katrine (1974-)pol rådg KD (b og gr oppl) 2012, pol rådg KD 2012-2013",
Gramnæs,Katrine,1974-,pol rådg,KD,2012-2013,"Gramnæs, Katrine (1974-)pol rådg KD (b og gr oppl) 2012, pol rådg KD 2012-2013",
Gramstad,Kristine,1978-,stsekr,FKD,2011-2013,"Gramstad, Kristine (1978-)stsekr FKD 2011-2013",
Granli,Leif,1909-1988,str,LD,1963-1965,"Granli, Leif (1909-1988) str LD 1963-1965",
Granli,Petter Kristian,1954-,pers sekr,IND,1983,"Granli, Petter Kristian (1954-) pers sekr IND 1983",
Grannes,Susanne Bratli,1966-,pol rådg,FD,1996-1997,"Grannes, Susanne Bratli (1966-) pol rådg FD 1996-1997",
Gregussen,Otto,1956-,pol rådg,FID,1992-1994,"Gregussen, Otto (1956-) pol rådg FID 1992-1994, stsekr FID 1994-1996, str FID 2000-2001",
Gregussen,Otto,1956-,stsekr,FID,1994-1996,"Gregussen, Otto (1956-) pol rådg FID 1992-1994, stsekr FID 1994-1996, str FID 2000-2001",
Gregussen,Otto,1956-,str,FID,2000-2001,"Gregussen, Otto (1956-) pol rådg FID 1992-1994, stsekr FID 1994-1996, str FID 2000-2001",
Greve,Gottfred,1924-,pers rådg,IND,1984-1985,"Greve, Gottfred (1924-) pers rådg IND 1984-1985",
Greve,Tim,1926-1986,pers sekr,UD,1956-1960,"Greve, Tim (1926-1986) pers sekr UD 1956-1960",
Grimstad,Erlend Trygve,1967-,pol rådg,OED,1997-1999,"Grimstad, Erlend Trygve (1967-) pol rådg OED 1997-1999, stsekr OED 1999-2000,stsekr LMD 2013",
Grimstad,Erlend Trygve,1967-,stsekr,OED,1999-2000,"Grimstad, Erlend Trygve (1967-) pol rådg OED 1997-1999, stsekr OED 1999-2000,stsekr LMD 2013",
Grimstad,Erlend Trygve,1967-,stsekr,LMD,2013,"Grimstad, Erlend Trygve (1967-) pol rådg OED 1997-1999, stsekr OED 1999-2000,stsekr LMD 2013",
Grimstad,Per Ø.,1934-,stsekr,IND,1986-1988,"Grimstad, Per Ø. (1934-) stsekr IND 1986-1988, stsekr ND 1988-1989",
Grimstad,Per Ø.,1934-,stsekr,ND,1988-1989,"Grimstad, Per Ø. (1934-) stsekr IND 1986-1988, stsekr ND 1988-1989",
Groseth,Torolv,1950-,stsekr,JD,1997,"Groseth, Torolv (1950-) stsekr JD 1997",
Groth,Marianne,1981-,pol rådg (vikar),UFD,2005,"Groth, Marianne (1981-) pol rådg (vikar) UFD 2005",
Grue,Per Harald,1943-,pers sekr,LD,1974-1976,"Grue, Per Harald (1943-) pers sekr LD 1974-1976, pers sekr LD 1976-1978",
Grue,Per Harald,1943-,pers sekr,LD,1976-1978,"Grue, Per Harald (1943-) pers sekr LD 1974-1976, pers sekr LD 1976-1978",
Grydeland,Bjørn Trygve,1949-,strsekr,,1992,"Grydeland, Bjørn Trygve (1949-) strsekr 1992-2001",
Græger,Nina,1965-,pol rådg,NOE,1996,"Græger, Nina (1965-) pol rådg NOE 1996",
Grøndahl,Kirsti Kolle,1943-,str,KUD,1986-1988,"Grøndahl, Kirsti Kolle (1943-) str KUD 1986-1988, str DUH 1988-1989",
Grøndahl,Kirsti Kolle,1943-,str,DUH,1988-1989,"Grøndahl, Kirsti Kolle (1943-) str KUD 1986-1988, str DUH 1988-1989",
Grønnevet,Leiv,1943-,stsekr,FID,1981-1984,"Grønnevet, Leiv (1943-) stsekr FID 1981-1984",
Grønn-Hagen,Karen,1903-1982,str,FFD,1963,"Grønn-Hagen, Karen (1903-1982) str FFD 1963",
Grønseth,Finn,1951-,stsekr,SHD (sos),1996,"Grønseth, Finn (1951-) stsekr SHD (sos) 1996, stsekr SHD (sos) 1996-1997",
Grønseth,Finn,1951-,stsekr,SHD (sos),1996-1997,"Grønseth, Finn (1951-) stsekr SHD (sos) 1996, stsekr SHD (sos) 1996-1997",
Grønvold,Nina Tangnæs,1969-,stsekr,KUF,2001,"Grønvold, Nina Tangnæs (1969-) stsekr KUF 2001, stsekr HOD 2012-2013",
Grønvold,Nina Tangnæs,1969-,stsekr,HOD,2012-2013,"Grønvold, Nina Tangnæs (1969-) stsekr KUF 2001, stsekr HOD 2012-2013",
Grønaas,Olaf Marcelius,1905-1986,stsekr,FID,1954-1955,"Grønaas, Olaf Marcelius (1905-1986) stsekr FID 1954-1955, stsekr FID 1955-1960",
Grønaas,Olaf Marcelius,1905-1986,stsekr,FID,1955-1960,"Grønaas, Olaf Marcelius (1905-1986) stsekr FID 1954-1955, stsekr FID 1955-1960",
Gulati,Himanshu,1988-,stsekr,JD,2013-,"Gulati, Himanshu (1988-)stsekr JD 2013-",
Gulbrandsen,Håkon Arald,1969-,stsekr,UD (utv),2007-2009,"Gulbrandsen, Håkon Arald (1969-)stsekr UD (utv) 2007-2009",
Gulbrandsen,Jan Erik,1938-2007,stsekr,MD,1974-1975,"Gulbrandsen, Jan Erik (1938-2007) stsekr MD 1974-1975",
Gulbrandsen,Øistein,1943-,stsekr,FAD,1978-1979,"Gulbrandsen, Øistein (1943-) stsekr FAD 1978-1979",
Guldvog,Arnfinn,1913-1983,stmsekr,,1947,"Guldvog, Arnfinn (1913-1983) stmsekr 1947-1948, stmsekr 1951-1955, stmsekr 1955-1956",
Guldvog,Arnfinn,1913-1983,stmsekr,,1951,"Guldvog, Arnfinn (1913-1983) stmsekr 1947-1948, stmsekr 1951-1955, stmsekr 1955-1956",
Guldvog,Arnfinn,1913-1983,stmsekr,,1955,"Guldvog, Arnfinn (1913-1983) stmsekr 1947-1948, stmsekr 1951-1955, stmsekr 1955-1956",
Gullvåg,Steinar,1946-,pers sekr,SD,1986-1988,"Gullvåg, Steinar (1946-) pers sekr SD 1986-1988, pers rådg KAD 1988-1989",
Gullvåg,Steinar,1946-,pers rådg,KAD,1988-1989,"Gullvåg, Steinar (1946-) pers sekr SD 1986-1988, pers rådg KAD 1988-1989",
Gundersen,Mette,1972-,stsekr,KKD,2005-2007,"Gundersen, Mette (1972-) stsekr KKD 2005-2007",
Gundersen,Oscar Christian,1908-1991,str,JD,1945-1951,"Gundersen, Oscar Christian (1908-1991) str JD 1945-1951, str JD 1951-1952, str HSD 1962-1963, str JD 1963-1965",
Gundersen,Oscar Christian,1908-1991,str,JD,1951-1952,"Gundersen, Oscar Christian (1908-1991) str JD 1945-1951, str JD 1951-1952, str HSD 1962-1963, str JD 1963-1965",
Gundersen,Oscar Christian,1908-1991,str,HSD,1962-1963,"Gundersen, Oscar Christian (1908-1991) str JD 1945-1951, str JD 1951-1952, str HSD 1962-1963, str JD 1963-1965",
Gundersen,Oscar Christian,1908-1991,str,JD,1963-1965,"Gundersen, Oscar Christian (1908-1991) str JD 1945-1951, str JD 1951-1952, str HSD 1962-1963, str JD 1963-1965",
Gundersen,Tore Magnus,1952-,pol rådg,UD (u),1993-1996,"Gundersen, Tore Magnus (1952-) pol rådg UD (u) 1993-1996, pol rådg UD (u) 1996-1997",
Gundersen,Tore Magnus,1952-,pol rådg,UD (u),1996-1997,"Gundersen, Tore Magnus (1952-) pol rådg UD (u) 1993-1996, pol rådg UD (u) 1996-1997",
Guran,Ragnar,1950-,pers sekr,HSD,1979-1981,"Guran, Ragnar (1950-) pers sekr HSD 1979-1981",
error,,,,,,Gustaf - senere Gustaf V av Sverige (1858-1950)visekonge 1884,
Gustavsen,Laila,1973-,stsekr,ASD,2005,"Gustavsen, Laila (1973-) stsekr ASD 2005, stsekr AID 2006-2008, stsekr AID 2008-2009",
Gustavsen,Laila,1973-,stsekr,AID,2006-2008,"Gustavsen, Laila (1973-) stsekr ASD 2005, stsekr AID 2006-2008, stsekr AID 2008-2009",
Gustavsen,Laila,1973-,stsekr,AID,2008-2009,"Gustavsen, Laila (1973-) stsekr ASD 2005, stsekr AID 2006-2008, stsekr AID 2008-2009",
Gustavsen,Terje Moe,1954-,stsekr,SMK,1997,"Gustavsen, Terje Moe (1954-) stsekr SMK 1997, str SD 2000-2001",
Gustavsen,Terje Moe,1954-,str,SD,2000-2001,"Gustavsen, Terje Moe (1954-) stsekr SMK 1997, str SD 2000-2001",
Guttelvik,Ottar Brage,1953-,stsekr,FIN,1995-1996,"Guttelvik, Ottar Brage (1953-) stsekr FIN 1995-1996",
Gyldenstolpe,August Louis Fersen,1849-1928,um s-n,,1904,"Gyldenstolpe, August Louis Fersen (1849-1928) um s-n 1904-05",
Gøthe,Odd Christian,1919-2002,stsekr,FIN,1952-1955,"Gøthe, Odd Christian (1919-2002) stsekr FIN 1952-1955, stsekr IND 1955-1958",
Gøthe,Odd Christian,1919-2002,stsekr,IND,1955-1958,"Gøthe, Odd Christian (1919-2002) stsekr FIN 1952-1955, stsekr IND 1955-1958",
Gaarden,Sverre,1934-,stsekr,SOS,1986,"Gaarden, Sverre (1934-) stsekr SOS 1986",
Haffner,Wolfgang Wenzel von,1806-1892,str,MarD,1861-1863,"Haffner, Wolfgang Wenzel von (1806-1892) str MarD 1861-1863, str S 1863-1864, str MarD 1864-1867, str S 1867-1868, str MarD 1868-1869, tilf str int mai 1875, tilf str int juli 1875, tilf str int 1881, kst str S 1884, også kst stm S 1884",
Haffner,Wolfgang Wenzel von,1806-1892,str,S,1863-1864,"Haffner, Wolfgang Wenzel von (1806-1892) str MarD 1861-1863, str S 1863-1864, str MarD 1864-1867, str S 1867-1868, str MarD 1868-1869, tilf str int mai 1875, tilf str int juli 1875, tilf str int 1881, kst str S 1884, også kst stm S 1884",
Haffner,Wolfgang Wenzel von,1806-1892,str,MarD,1864-1867,"Haffner, Wolfgang Wenzel von (1806-1892) str MarD 1861-1863, str S 1863-1864, str MarD 1864-1867, str S 1867-1868, str MarD 1868-1869, tilf str int mai 1875, tilf str int juli 1875, tilf str int 1881, kst str S 1884, også kst stm S 1884",
Haffner,Wolfgang Wenzel von,1806-1892,str,S,1867-1868,"Haffner, Wolfgang Wenzel von (1806-1892) str MarD 1861-1863, str S 1863-1864, str MarD 1864-1867, str S 1867-1868, str MarD 1868-1869, tilf str int mai 1875, tilf str int juli 1875, tilf str int 1881, kst str S 1884, også kst stm S 1884",
Haffner,Wolfgang Wenzel von,1806-1892,str,MarD,1868-1869,"Haffner, Wolfgang Wenzel von (1806-1892) str MarD 1861-1863, str S 1863-1864, str MarD 1864-1867, str S 1867-1868, str MarD 1868-1869, tilf str int mai 1875, tilf str int juli 1875, tilf str int 1881, kst str S 1884, også kst stm S 1884",
Haffner,Wolfgang Wenzel von,1806-1892,error,,,"Haffner, Wolfgang Wenzel von (1806-1892) str MarD 1861-1863, str S 1863-1864, str MarD 1864-1867, str S 1867-1868, str MarD 1868-1869, tilf str int mai 1875, tilf str int juli 1875, tilf str int 1881, kst str S 1884, også kst stm S 1884",
Haffner,Wolfgang Wenzel von,1806-1892,error,,,"Haffner, Wolfgang Wenzel von (1806-1892) str MarD 1861-1863, str S 1863-1864, str MarD 1864-1867, str S 1867-1868, str MarD 1868-1869, tilf str int mai 1875, tilf str int juli 1875, tilf str int 1881, kst str S 1884, også kst stm S 1884",
Haffner,Wolfgang Wenzel von,1806-1892,tilf str int,,1881,"Haffner, Wolfgang Wenzel von (1806-1892) str MarD 1861-1863, str S 1863-1864, str MarD 1864-1867, str S 1867-1868, str MarD 1868-1869, tilf str int mai 1875, tilf str int juli 1875, tilf str int 1881, kst str S 1884, også kst stm S 1884",
Haffner,Wolfgang Wenzel von,1806-1892,kst str,S,1884,"Haffner, Wolfgang Wenzel von (1806-1892) str MarD 1861-1863, str S 1863-1864, str MarD 1864-1867, str S 1867-1868, str MarD 1868-1869, tilf str int mai 1875, tilf str int juli 1875, tilf str int 1881, kst str S 1884, også kst stm S 1884",
Haffner,Wolfgang Wenzel von,1806-1892,også kst stm,S,1884,"Haffner, Wolfgang Wenzel von (1806-1892) str MarD 1861-1863, str S 1863-1864, str MarD 1864-1867, str S 1867-1868, str MarD 1868-1869, tilf str int mai 1875, tilf str int juli 1875, tilf str int 1881, kst str S 1884, også kst stm S 1884",
Haga,Åslaug Marie,1959-,pers sekr,DUH,1989,"Haga, Åslaug Marie (1959-) pers sekr DUH 1989, pers sekr UD (bist) 1990, stsekr UD (u) 1997-1999, stsekr SMK 1999, str KD 1999-2000, str KRD 2005-2007, str OED 2007-2008",
Haga,Åslaug Marie,1959-,pers sekr,UD (bist),1990,"Haga, Åslaug Marie (1959-) pers sekr DUH 1989, pers sekr UD (bist) 1990, stsekr UD (u) 1997-1999, stsekr SMK 1999, str KD 1999-2000, str KRD 2005-2007, str OED 2007-2008",
Haga,Åslaug Marie,1959-,stsekr,UD (u),1997-1999,"Haga, Åslaug Marie (1959-) pers sekr DUH 1989, pers sekr UD (bist) 1990, stsekr UD (u) 1997-1999, stsekr SMK 1999, str KD 1999-2000, str KRD 2005-2007, str OED 2007-2008",
Haga,Åslaug Marie,1959-,stsekr,SMK,1999,"Haga, Åslaug Marie (1959-) pers sekr DUH 1989, pers sekr UD (bist) 1990, stsekr UD (u) 1997-1999, stsekr SMK 1999, str KD 1999-2000, str KRD 2005-2007, str OED 2007-2008",
Haga,Åslaug Marie,1959-,str,KD,1999-2000,"Haga, Åslaug Marie (1959-) pers sekr DUH 1989, pers sekr UD (bist) 1990, stsekr UD (u) 1997-1999, stsekr SMK 1999, str KD 1999-2000, str KRD 2005-2007, str OED 2007-2008",
Haga,Åslaug Marie,1959-,str,KRD,2005-2007,"Haga, Åslaug Marie (1959-) pers sekr DUH 1989, pers sekr UD (bist) 1990, stsekr UD (u) 1997-1999, stsekr SMK 1999, str KD 1999-2000, str KRD 2005-2007, str OED 2007-2008",
Haga,Åslaug Marie,1959-,str,OED,2007-2008,"Haga, Åslaug Marie (1959-) pers sekr DUH 1989, pers sekr UD (bist) 1990, stsekr UD (u) 1997-1999, stsekr SMK 1999, str KD 1999-2000, str KRD 2005-2007, str OED 2007-2008",
Hagebakken,Tore,1961-,stsekr,SHD (sos),2000-2001,"Hagebakken, Tore (1961-) stsekr SHD (sos) 2000-2001",
Hagelin,Albert Viljam,1882-1946,str,Q,1940,"Hagelin, Albert Viljam (1882-1946) str Q 1940, kst str NS 1940-1941, min NS 1941-1944",
Hagelin,Albert Viljam,1882-1946,kst str,NS,1940-1941,"Hagelin, Albert Viljam (1882-1946) str Q 1940, kst str NS 1940-1941, min NS 1941-1944",
Hagelin,Albert Viljam,1882-1946,min,NS,1941-1944,"Hagelin, Albert Viljam (1882-1946) str Q 1940, kst str NS 1940-1941, min NS 1941-1944",
Hagen,Per N.,1936-2010,stsekr,KAD (kom),1989,"Hagen, Per N. (1936-2010) stsekr KAD (kom) 1989, stsekr KOM 1990, stsekr KAD (kom) 1997, stsekr KRD 1998-1999",
Hagen,Per N.,1936-2010,stsekr,KOM,1990,"Hagen, Per N. (1936-2010) stsekr KAD (kom) 1989, stsekr KOM 1990, stsekr KAD (kom) 1997, stsekr KRD 1998-1999",
Hagen,Per N.,1936-2010,stsekr,KAD (kom),1997,"Hagen, Per N. (1936-2010) stsekr KAD (kom) 1989, stsekr KOM 1990, stsekr KAD (kom) 1997, stsekr KRD 1998-1999",
Hagen,Per N.,1936-2010,stsekr,KRD,1998-1999,"Hagen, Per N. (1936-2010) stsekr KAD (kom) 1989, stsekr KOM 1990, stsekr KAD (kom) 1997, stsekr KRD 1998-1999",
Hagen,Ragna,1891-1966,pers sekr,SMK,1940-1945,"Hagen, Ragna (1891-1966)pers sekr SMK 1940-1945, pers sekr SMK 1945",
Hagen,Ragna,1891-1966,pers sekr,SMK,1945,"Hagen, Ragna (1891-1966)pers sekr SMK 1940-1945, pers sekr SMK 1945",
Hagen,Thorbjørn G.,1934-,pers sekr,FIN,1975-1976,"Hagen, Thorbjørn G. (1934-) pers sekr FIN 1975-1976, pers sekr FIN 1976-1977",
Hagen,Thorbjørn G.,1934-,pers sekr,FIN,1976-1977,"Hagen, Thorbjørn G. (1934-) pers sekr FIN 1975-1976, pers sekr FIN 1976-1977",
Hagerup,George Francis,1853-1921,str,JD,1893-1894,"Hagerup, George Francis (1853-1921) str JD 1893-1894, str S 1894-1895, str FIN 1895, stm 1895-1898, også sjef for JD 1895-1897, også sjef for RevD 1897, stm 1903-1905, også sjef for JD 1903-1905",
Hagerup,George Francis,1853-1921,str,S,1894-1895,"Hagerup, George Francis (1853-1921) str JD 1893-1894, str S 1894-1895, str FIN 1895, stm 1895-1898, også sjef for JD 1895-1897, også sjef for RevD 1897, stm 1903-1905, også sjef for JD 1903-1905",
