154,2009-11-26,0:28:12,154,1,19,2,6,4,2,110,"Innstilling fra finanskomiteen om Nasjonalbudsjettet  2010 og forslaget til statsbudsjett for 2010  (Innst. 2 S (2009–2010), jf. Meld. St. 1 (2009–2010),  Prop. 1 S (2009–2010) og Prop. 1 S Tillegg 1–3 (2009–  2010))",NULL,4000,2259,21,NULL,http://www.stortinget.no/Global/pdf/Referater/Stortinget/2009-2010/s091126.pdf
154,2009-11-26,0:28:37,154,1,19,2,7,4,2,110,"Innstilling fra finanskomiteen om Nasjonalbudsjettet  2010 og forslaget til statsbudsjett for 2010  (Innst. 2 S (2009–2010), jf. Meld. St. 1 (2009–2010),  Prop. 1 S (2009–2010) og Prop. 1 S Tillegg 1–3 (2009–  2010))",NULL,4000,2259,21,NULL,http://www.stortinget.no/Global/pdf/Referater/Stortinget/2009-2010/s091126.pdf
154,2009-11-26,0:28:58,154,1,19,2,8,4,2,110,"Innstilling fra finanskomiteen om Nasjonalbudsjettet  2010 og forslaget til statsbudsjett for 2010  (Innst. 2 S (2009–2010), jf. Meld. St. 1 (2009–2010),  Prop. 1 S (2009–2010) og Prop. 1 S Tillegg 1–3 (2009–  2010))",NULL,4000,2259,21,NULL,http://www.stortinget.no/Global/pdf/Referater/Stortinget/2009-2010/s091126.pdf
154,2009-11-26,0:29:33,154,1,19,2,9,4,2,110,"Innstilling fra finanskomiteen om Nasjonalbudsjettet  2010 og forslaget til statsbudsjett for 2010  (Innst. 2 S (2009–2010), jf. Meld. St. 1 (2009–2010),  Prop. 1 S (2009–2010) og Prop. 1 S Tillegg 1–3 (2009–  2010))",NULL,4000,2259,21,NULL,http://www.stortinget.no/Global/pdf/Referater/Stortinget/2009-2010/s091126.pdf
154,2009-11-26,0:30:03,154,1,19,2,10,4,2,110,"Innstilling fra finanskomiteen om Nasjonalbudsjettet  2010 og forslaget til statsbudsjett for 2010  (Innst. 2 S (2009–2010), jf. Meld. St. 1 (2009–2010),  Prop. 1 S (2009–2010) og Prop. 1 S Tillegg 1–3 (2009–  2010))",NULL,4000,2259,21,NULL,http://www.stortinget.no/Global/pdf/Referater/Stortinget/2009-2010/s091126.pdf
154,2009-11-26,0:31:09,154,1,19,2,11,4,3,110,"Innstilling fra finanskomiteen om Nasjonalbudsjettet  2010 og forslaget til statsbudsjett for 2010  (Innst. 2 S (2009–2010), jf. Meld. St. 1 (2009–2010),  Prop. 1 S (2009–2010) og Prop. 1 S Tillegg 1–3 (2009–  2010))",NULL,4000,2259,21,NULL,http://www.stortinget.no/Global/pdf/Referater/Stortinget/2009-2010/s091126.pdf
154,2009-11-26,0:35:27,154,1,19,3,1,4,2,110,"Innstilling fra finanskomiteen om skatte-, avgiftsog  tollvedtak, rammetilskudd mv. til kommunesektoren,  tilfeldige utgifter og inntekter og statsbudsjettets  kapitler om utbytte mv. for 2010  (Innst. 3 S (2009–2010), jf. Meld. St. 1 (2009–2010),  Prop. 1 S (2009–2010) og Prop. 1 S Tillegg 3 (2009–  2010))",NULL,4000,2259,21,NULL,http://www.stortinget.no/Global/pdf/Referater/Stortinget/2009-2010/s091126.pdf
154,2009-11-26,0:35:56,154,1,19,3,2,4,2,110,"Innstilling fra finanskomiteen om skatte-, avgiftsog  tollvedtak, rammetilskudd mv. til kommunesektoren,  tilfeldige utgifter og inntekter og statsbudsjettets  kapitler om utbytte mv. for 2010  (Innst. 3 S (2009–2010), jf. Meld. St. 1 (2009–2010),  Prop. 1 S (2009–2010) og Prop. 1 S Tillegg 3 (2009–  2010))",NULL,4000,2259,21,NULL,http://www.stortinget.no/Global/pdf/Referater/Stortinget/2009-2010/s091126.pdf
154,2009-11-26,0:36:22,154,1,19,3,3,4,2,110,"Innstilling fra finanskomiteen om skatte-, avgiftsog  tollvedtak, rammetilskudd mv. til kommunesektoren,  tilfeldige utgifter og inntekter og statsbudsjettets  kapitler om utbytte mv. for 2010  (Innst. 3 S (2009–2010), jf. Meld. St. 1 (2009–2010),  Prop. 1 S (2009–2010) og Prop. 1 S Tillegg 3 (2009–  2010))",NULL,4000,2259,21,NULL,http://www.stortinget.no/Global/pdf/Referater/Stortinget/2009-2010/s091126.pdf
154,2009-11-26,0:37:21,154,1,19,3,4,4,2,110,"Innstilling fra finanskomiteen om skatte-, avgiftsog  tollvedtak, rammetilskudd mv. til kommunesektoren,  tilfeldige utgifter og inntekter og statsbudsjettets  kapitler om utbytte mv. for 2010  (Innst. 3 S (2009–2010), jf. Meld. St. 1 (2009–2010),  Prop. 1 S (2009–2010) og Prop. 1 S Tillegg 3 (2009–  2010))",NULL,4000,2259,21,NULL,http://www.stortinget.no/Global/pdf/Referater/Stortinget/2009-2010/s091126.pdf
