30640,5004488,GOK,Gorm,Kjernli,Student,Student,21,154,2900,Akershus fylke,,1,,,,
2299,1920,GUO,Gunn,Olsen,Kontorfullmektig,Office clerk,21,154,8900,Telemark fylke,3,,,,,
2151,820,GKG,Gunn Karin,Gjul,Cand.jur,Cand.jur,21,154,16900,Sør-Trøndelag fylke,2,,,,,
30708,5004368,GAG,Gunnar,Gundersen,Div. styreverv,Various board assignments,71,154,4900,Hedmark fylke,8,,,,,
30626,5004381,GUE,Gunvor,Eldegard,Ordfører,Mayor,21,154,2900,Akershus fylke,11,,,,,
31274,,HTA,Hadia,Tajik,,,21,154,,Oslo,6,,,,,
2298,1510,HHL,Hallgeir H.,Langeland,"Rådgiver, adjunkt","Advisor, teacher (Norw. <em>'adjunkt'</em>)",14,154,11900,Rogaland fylke,1,,,,,
30619,5004357,HAFA,Hans Frode Kielland,Asmyhr,Assistent,Assistant,81,154,2900,Akershus fylke,5,,,,,
27577,3193,HOSY,Hans Olav,Syversen,Student/statssekretær,"Student, State Secretary",51,154,3900,Oslo,17,,,,,2
2336,1803,HTN,Harald T.,Nesvik,Selger,Salesman,81,154,15900,Møre og Romsdal fylke,1,,,,,
26891,1155,HEH,Heikki Eidsvoll,Holmås,"Student, servitør","Student, waiter",14,154,3900,Oslo,2,,,,,
30961,5004385,HPED,Helga,Pedersen,,,21,154,,Finnmark fylke,,,,,,
30603,5004362,HSK,Henning,Skumsvoll,Prosjektsjef,Project leader,81,154,10900,Vest-Agder fylke,1,,,,,
31279,,HEW,Henning,Warloe,,,71,154,,Hordaland fylke,3,,,,,
30608,5004378,HML,Hilde,Magnusson,Advokat,Lawyer,21,154,12900,Hordaland fylke,12,,,,,
31259,,HAKH,Håkon,Haugli,,,21,154,,Oslo,,,,,,
27164,2506,IBTH,Ib,Thomsen,Disponent,General manager,81,154,2900,Akershus fylke,14,,,,,
26788,631,IME,Ine M. Eriksen,Søreide,Student,Student,71,154,3900,Oslo,7,,,,,
30204,4013,IMT,Inga Marte,Thorkildsen,Student,Student,14,154,7900,Vestfold fylke,1,,,,,
31268,,IOL,Ingalill,Olsen,,,21,154,,Finnmark fylke,3,,,,,
31255,,IAG,Ingebjørg,Godskesen,,,81,154,,Aust-Agder fylke,,,,,,
30217,4016,ISC,Ingjerd,Schou,,,71,154,1900,Østfold fylke,1,,,,,
26865,1043,IHE,Ingrid,Heggø,Partisekretær,Party secretary (national level),21,154,14900,Sogn og Fjordane fylke,4,,,,,
30886,5004354,IJ,Irene,Johansen,Personalsjef,Personnel manager,21,154,1900,Østfold fylke,6,,,,,
27029,1834,IRLN,Irene Lange,Nordahl,,,41,154,19900,Troms fylke,,,,,,
2316,1462,IVK,Ivar,Kristiansen,Selvstendig næringsdrivende,Self-employed,71,154,18900,Nordland fylke,8,,,,,
30901,5004375,JBO,Jan,Bøhler,Partisekretær Oslo Ap,Party secretary (Lab.),21,154,3900,Oslo,8,,,,,2
30219,4018,JAE,Jan Arild,Ellingsen,"Fylkessekretær/miljøterapeut, bilm","County secretary/milieu therapist, car mechanic",81,154,18900,Nordland fylke,5,,,,,
1219,2150,JTS,Jan Tore,Sanner,"Student, politisk sekretær","Student, political secretary",71,154,2900,Akershus fylke,6,,,,,
30860,5004369,JF,Jan-Henrik,Fredriksen,Sveiser/industrirørlegger,Welder / industrial plumber,81,154,20900,Finnmark fylke,3,,,,,
30373,5004142,JSN,Janne Sjelmo,Nordås,Gårdbruker,Farmer,41,154,18900,Nordland fylke,,1,,,,
30856,5004537,JKL,Jenny,Klinge,,,41,154,15900,Møre og Romsdal fylke,,2,,,,
1337,2364,JES,Jens,Stoltenberg,"Partileder A, cand.oecon","Party leader (Lab.), cand.oecon",21,154,3900,Oslo,1,,,,2,2
31283,,JFC,Jette F.,Christensen,,,21,154,,Hordaland fylke,,,,,,
26834,897,JONG,Jon Jæger,Gåsvatn,Bioingeniør,Bio-engineer,81,154,1900,Østfold fylke,4,,,,,
30897,5004377,JASP,Jorodd,Asphjell,Fylkessekretær,County secretary,21,154,16900,Sør-Trøndelag fylke,6,,,,,
30853,5004361,JHR,Jørund,Rytman,Elev/student,Pupil/student,81,154,6900,Buskerud fylke,5,,,,,
30867,5004548,KARH,Kari,Henriksen,Psykiatrisk sykepleier,Psyciatric Nurse,21,154,10900,Vest-Agder fylke,1,,,,,
31285,,KSTO,Kari,Storstrand,,,81,154,,Nordland fylke,,,,,,
30943,5004363,KKK,Kari Kjønaas,Kjos,Rådgiver,Advisor,81,154,2900,Akershus fylke,10,,,,,
1289,44,KAAN,Karin,Andersen,"Student, barnehageassistent","Student, kindergarten assistant",14,154,4900,Hedmark fylke,1,,,,,
30186,4021,KSW,Karin S.,Woldseth,Økonom,Economist,81,154,12900,Hordaland fylke,11,,,,,
2317,2427,KES,Kenneth,Svendsen,"Fylkessekretær, sjåfør","County secretary, driver",81,154,18900,Nordland fylke,2,,,,,
30027,5004150,KEG,Kent,Gudmundsen,Student,Student,71,154,19900,Troms fylke,,1,,,,
30871,5004348,KETS,Ketil,Solvik-Olsen,Prosjektleder,Project leader,81,154,11900,Rogaland fylke,7,,,,,
30941,5004564,KJR,Kjell Ingolf,Ropstad,,,51,154,9900,Aust-Agder fylke,,1,,,,
31276,,KJT,Kjersti,Toppe,,,41,154,,Hordaland fylke,,,,,,
27136,2367,KNUS,Knut,Storberget,Advokat,Lawyer,21,154,4900,Hedmark fylke,2,,,,2,
26853,993,KNAH,Knut Arild,Hareide,,,51,154,2900,Akershus fylke,,,,,,
1120,935,KHA,Kristin,Halvorsen,Partileder SV,Party leader (SLP),14,154,3900,Oslo,1,,,,2,
31272,,KSIM,Kåre,Simensen,,,21,154,,Finnmark fylke,2,,,,,
4173,3414,LD,Laila,Dåvøy,Sykepleier/statsråd,"Nurse, Councillor of State",51,154,12900,Hordaland fylke,15,,,,2,2
30012,5004173,LAG,Laila,Gustavsen,"Daglig leder SFO, fotterapeut","After-school (recreational) prandramme manager, po",21,154,6900,Buskerud fylke,,3,,,,2
30912,5004587,LRE,Laila Marie,Reiertsen,Sykepleier,Nurse,81,154,12900,Hordaland fylke,,3,,,,
31267,,LMY,Lars,Myraune,,,71,154,,Nord-Trøndelag fylke,,,,,,
2213,399,LAPB,Lars Peder,Brekk,"Daglig leder, administrerende dire","Manager, general director",41,154,17900,Nord-Trøndelag fylke,3,,,,2,
30909,5004584,LILH,Lillian,Hansen,,,21,154,18900,Nordland fylke,,3,,,,
31260,,LCH,Linda C. Hofstad,Helleland,,,71,154,,Sør-Trøndelag fylke,,,,,,
31053,5004365,LHH,Line Henriette,Hjemdal,Prosjektleder (studentrekrutering),Project leader (student recruitment),51,154,1900,Østfold fylke,9,,,,,
30907,5004364,LIC,Lise,Christoffersen,Seniorrådgiver,Senior advisor,21,154,6900,Buskerud fylke,6,,,,,
28213,5004187,LSN,Liv Signe,Navarsete,Sjølvstendig næringsdrivande,Self-employed,41,154,14900,Sogn og Fjordane fylke,2,,,,2,
31271,,MAGR,Magne,Rommetveit,,,21,154,,Hordaland fylke,,,,,,
1357,1390,MMK,Magnhild Meltveit,Kleppa,Adjunkt,Teacher (Norw. <em>'adjunkt'</em>),41,154,11900,Rogaland fylke,11,,,,2,
30834,5004379,MAAA,Marianne,Aasen,Politisk rådgiver,Political advisor,21,154,2900,Akershus fylke,13,,,,,
30931,5004374,MAM,Marianne,Marthinsen,Elev/student,Pupil/student,21,154,3900,Oslo,13,,,,,
1146,1866,MN,Marit,Nybakk,Forbundssekretær NTL cand.mag.,Confederation secretary (Norwegian Civil Service U,21,154,3900,Oslo,4,,,,,
31286,,MARI,Marit,Amundsen,,,81,154,,Rogaland fylke,,,,,,
